,MACE-MP-0b3
51_Rxn5_Product_WCPT27,-43.425947700092486
52_Rxn6_Product_WCPT27,-47.94161473299641
53_Rxn7_Product_WCPT27,-25.981975938003163
54_Rxn8_Product_WCPT27,-31.50888559320046
55_Rxn9_Product_WCPT27,-35.412427648109855
56_Water_WCPT27,-14.021187404444847
57_h_lower_BH76,-1.11734008
58_hn2_BH76,-17.654206224619152
59_hn2ts_BH76,-17.258374754326084
5react_CRBH20,-81.23550526183548
5ts_CRBH20,-79.38203911223046
60_hnc_BH76,-17.70835670225744
63_hoch3fts_BH76,-31.483466263694016
64_HS_BH76,-6.755810649803943
65_H_upper_BH76,-1.11734008
66_n2_BH76,-15.839896844756662
67_n2o_BH76,-20.574380369869647
68_n2ohts_BH76,-22.539251257767376
6react_CRBH20,-71.25058742997054
6ts_CRBH20,-70.10777680716892
72_O_BH76,-1.54838784
73_oh-_BH76,-8.042671574151456
74_oh_lower_BH76,-8.04897168136983
75_OH_upper_BH76,-8.04897168136983
7react_CRBH20,-76.8109875854003
7ts_CRBH20,-75.70743738617077
81_RKT04_BH76,-32.00096692278167
89_RKT14_BH76,-9.54324479697642
8react_CRBH20,-64.99207699327704
8ts_CRBH20,-63.375280406982704
90_RKT16_BH76,-13.098605548096895
9react_CRBH20,-97.99297511645105
9ts_CRBH20,-96.28848913028133
BH28_BHDIV_1_min,-71.15823683573947
BH28_BHDIV_1_ts,-69.12887282809045
BH28_BHDIV_2_min,-66.67083605765238
BH28_BHDIV_2_ts,-66.83836478171195
BH28_BHDIV_3_min,-59.79094956390598
BH28_BHDIV_3_ts,-58.145255758201294
BH28_BHPERI_1_min,-55.58227578894147
BH28_BHPERI_1_ts,-54.81744339451515
BH28_BHPERI_2_min,-80.57497754709307
BH28_BHPERI_2_ts,-80.62342599083718
BH28_BHPERI_3_min,-72.64900663178784
BH28_BHPERI_3_ts,-71.59522816237904
BH28_BHPERI_4_min,-65.31824374229538
BH28_BHPERI_4_ts,-64.32179472281861
BH28_BHPERI_5_min,-88.7192307116819
BH28_BHPERI_5_ts,-87.42900985944978
BH28_BHPERI_6_min,-55.92098422474005
BH28_BHPERI_6_ts,-87.31333967004142
BH28_CADBH_1_min,-20.571407414369908
BH28_CADBH_1_ts,-50.88693391671381
BH28_CADBH_2_min,-25.850309744237766
BH28_CADBH_2_ts,-56.571112861503416
BH28_CADBH_3_min,-30.164386033883247
BH28_CADBH_3_ts,-61.2335363364154
BH28_CADBH_4_min,-23.991118564573476
BH28_CADBH_4_ts,-54.94599213150505
BH28_CADBH_5_min,-29.120059086299666
BH28_CADBH_5_ts,-60.569634397773264
BH28_CADBH_6_min,-33.99152856871011
BH28_CADBH_6_ts,-65.43418617647907
BH28_CADBH_7_min,-32.10434067460439
BH28_CADBH_7_ts,-63.28714686985283
BH28_CADBH_8_min,-37.722820565993615
BH28_CADBH_8_ts,-68.88748471635829
BH28_CADBH_9_min,-42.649637996192084
BH28_CADBH_9_ts,-73.82835623921662
BH28_CADBH_c2h4,-31.217750195308696
BH28_CRBH_1_min,-47.81104195642517
BH28_CRBH_1_ts,-45.76239481813414
BH28_CRBH_2_min,-64.57582522447484
BH28_CRBH_2_ts,-62.57167751747022
BH28_CRBH_3_min,-63.82835311866705
BH28_CRBH_3_ts,-62.68238499261273
BH28_CRBH_4_min,-44.7246481399987
BH28_CRBH_4_ts,-42.91887497604427
BH28_CRBH_5_min,-61.45015756644108
BH28_CRBH_5_ts,-59.77610487649771
BH28_CRBH_6_min,-60.949800945595186
BH28_CRBH_6_ts,-60.07502020704955
BH28_PXBH_1_min,-78.90854438029861
BH28_PXBH_1_ts,-77.7708227405908
BH28_PXBH_2_min,-57.70923708022944
BH28_PXBH_2_ts,-57.2156454024764
BH28_PXBH_3_min,-31.85228592619811
BH28_PXBH_3_ts,-31.41766415106367
BH28_PXBH_4_min,-40.19386525340419
BH28_PXBH_4_ts,-39.775184962290965
BH76_C2H5,-34.85779945613977
BH76_C2H6,-39.94405012962051
BH76_C5H8,-72.65234125926564
BH76_CH3,-18.06902581594427
BH76_CH4,-23.64018795914753
BH76_Cl,-0.25828273
BH76_F,-0.51882044
BH76_H,-1.11734008
BH76_H2,-6.854717654262629
BH76_H2O,-14.013177439694452
BH76_HCl,-5.429620262974002
BH76_HF,-6.945568592812575
BH76_NH,-8.211567413679044
BH76_NH2,-13.838626140911304
BH76_NH3,-19.405718019407498
BH76_O,-1.54838784
BH76_OH,-8.048971734199386
BH76_PH2,-11.15507566886039
BH76_PH3,-15.52801832323494
BH76_RKT01,-8.221428614978926
BH76_RKT02,-15.06058469603888
BH76_RKT03,-24.884124936433672
BH76_RKT06,-8.114677533828637
BH76_RKT07,-27.97429312997655
BH76_RKT08,-24.39319553987121
BH76_RKT09,-48.41299204037619
BH76_RKT10,-8.37757710789769
BH76_RKT11,-25.830742865829777
BH76_RKT12,-16.892594237123685
BH76_RKT17,-9.319053923383247
BH76_RKT18,-31.77995773447714
BH76_RKT19,-48.24953143329728
BH76_RKT20,-53.996815874912244
BH76_RKT21,-37.58303403518345
BH76_RKT22,-71.60407431056315
BH76_c2h4,-31.22271329580786
BH76_c3h7,-51.39710591045405
BH76_c3h7ts,-49.940800770838734
BH76_ch3cl,-22.13034832494001
BH76_ch3f,-23.473036189604347
BH76_cl-,-0.25828273
BH76_clch3clts,-22.71557959511553
BH76_co,-13.75821696915342
BH76_f-,-0.51882044
BH76_f2,-1.7137602570802677
BH76_fch3clts,-24.0902039245969
BH76_fch3fcomp,-25.202867970604565
BH76_fch3fts,-25.539269791022928
BH76_hco,-17.03807110991611
BH76_hcots,-15.393589631660666
BH76_hf2ts,-4.2453742060556365
BH76_hfch3ts,-24.60967321721517
BH76_hfhts,-9.401410858928614
BH76_hoch3fcomp1,-32.89274453923798
BH76_hoch3fcomp2,-31.854892791707908
BH76_hoch3fts,-31.483465857929637
BH9_01_10P,-104.45865946391906
BH9_01_10R,-103.3675634161901
BH9_01_10TS,-103.44658088772493
BH9_01_11P,-102.27922829281329
BH9_01_11R,-102.03549409542879
BH9_01_11TS,-102.07199272468475
BH9_01_12P,-118.38717432321951
BH9_01_12R,-116.91589056165765
BH9_01_12TS,-117.07588000489972
BH9_01_13P,-104.80146000429615
BH9_01_13R,-103.99993486048841
BH9_01_13TS,-104.10357806748345
BH9_01_14P,-109.92831410313684
BH9_01_14R,-109.08103826217945
BH9_01_14TS,-109.25444844869608
BH9_01_15P,-123.64366443278962
BH9_01_15R,-123.38236120922784
BH9_01_15TS,-123.36360563225188
BH9_01_16P,-109.43404505339404
BH9_01_16R,-109.08724304690745
BH9_01_16TS,-109.06790968789619
BH9_01_17P,-128.08275513942274
BH9_01_17R,-128.24635730421983
BH9_01_17TS,-128.07789764793313
BH9_01_18P,-115.99771500327788
BH9_01_18R,-115.53282473537129
BH9_01_18TS,-115.57569908204732
BH9_01_19P,-128.87787353523754
BH9_01_19R,-127.58124551985895
BH9_01_19TS,-127.70877406237507
BH9_01_1P,-59.61867165936937
BH9_01_1R,-59.34289797663193
BH9_01_1TS,-59.424454286733976
BH9_01_20P,-118.95330105541144
BH9_01_20R,-118.18972821615863
BH9_01_20TS,-118.29725428371651
BH9_01_21P,-120.86305374455725
BH9_01_21R,-120.04176651342289
BH9_01_21TS,-120.12385088632811
BH9_01_22P,-113.10535130174543
BH9_01_22R,-113.41645152535358
BH9_01_22TS,-112.96447081056638
BH9_01_23P,-118.64385696055733
BH9_01_23R,-118.73258434899486
BH9_01_23TS,-118.6057142123008
BH9_01_24P,-126.33104490590148
BH9_01_24R,-125.45993738696623
BH9_01_24TS,-125.56163456465907
BH9_01_25P,-126.50249963010967
BH9_01_25R,-125.9713039555368
BH9_01_25TS,-125.9495344930734
BH9_01_26P,-139.8963977635932
BH9_01_26R,-140.2905777854053
BH9_01_26TS,-139.93441516725235
BH9_01_27P,-130.14952382618165
BH9_01_27R,-129.92756333785636
BH9_01_27TS,-129.61787730501348
BH9_01_28P,-144.66180472208163
BH9_01_28R,-144.82827318255679
BH9_01_28TS,-144.4837672850077
BH9_01_29P,-148.47611043972339
BH9_01_29R,-147.88960613332335
BH9_01_29TS,-147.76227364498288
BH9_01_2P,-67.72885913563402
BH9_01_2R,-68.77510583455611
BH9_01_2TS,-67.93027602758252
BH9_01_30P,-142.3095297068178
BH9_01_30R,-142.81742002521892
BH9_01_30TS,-142.32855180575547
BH9_01_31P,-156.46597799721388
BH9_01_31R,-156.7052710524833
BH9_01_31TS,-156.38750498348693
BH9_01_32P,-146.93369755074727
BH9_01_32R,-146.6643313643229
BH9_01_32TS,-146.79823451541287
BH9_01_33P,-196.44066414187503
BH9_01_33R,-197.04167775692233
BH9_01_33TS,-196.46196614640374
BH9_01_34P,-196.8511856470891
BH9_01_34R,-197.03010422391887
BH9_01_34TS,-196.83176984639158
BH9_01_35P,-177.7486558161152
BH9_01_35R,-176.87994206297043
BH9_01_35TS,-176.69338362327346
BH9_01_36P,-186.73614263274257
BH9_01_36R,-186.21884353700685
BH9_01_36TS,-186.0566542765626
BH9_01_37P,-230.8515165764124
BH9_01_37R,-229.77771880456407
BH9_01_37TS,-229.85621509354044
BH9_01_38P,-247.49262683439483
BH9_01_38R,-246.66492710093488
BH9_01_38TS,-246.59517794528318
BH9_01_39P,-253.50661363826367
BH9_01_39R,-252.92348645172478
BH9_01_39TS,-252.90286918852547
BH9_01_3P,-76.21116740644266
BH9_01_3R,-75.73284692063017
BH9_01_3TS,-75.85275741739287
BH9_01_40P,-253.89967148313374
BH9_01_40R,-253.38732751993217
BH9_01_40TS,-253.56333997733938
BH9_01_41P,-259.7357746945384
BH9_01_41R,-259.5130747370797
BH9_01_41TS,-259.23790265749307
BH9_01_42P,-250.46849751354674
BH9_01_42R,-250.86534036796684
BH9_01_42TS,-250.3681571947312
BH9_01_43P,-263.96670319979444
BH9_01_43R,-263.4402001315333
BH9_01_43TS,-263.2874691925624
BH9_01_44P,-267.45053996069737
BH9_01_44R,-267.21192532871964
BH9_01_44TS,-267.0032183572551
BH9_01_45P,-293.83311413418306
BH9_01_45R,-293.2716094504089
BH9_01_45TS,-293.2519468523863
BH9_01_46P,-280.9330773137033
BH9_01_46R1,-108.49064606385002
BH9_01_46R2,-171.53915901912066
BH9_01_46TS,-280.1062373305653
BH9_01_47P,-302.5212883669613
BH9_01_47R,-302.08743141509893
BH9_01_47TS,-301.88197648209365
BH9_01_48P,-321.6911916815845
BH9_01_48R1,-149.0211099585029
BH9_01_48R2,-171.5391587000222
BH9_01_48TS,-320.86204652175076
BH9_01_4P,-80.65262860419034
BH9_01_4R,-80.32942012597879
BH9_01_4TS,-80.37471209175081
BH9_01_5P,-83.21882855666779
BH9_01_5R,-82.96964540490876
BH9_01_5TS,-83.0685707805916
BH9_01_6P,-94.06570856040105
BH9_01_6R,-92.82294523962275
BH9_01_6TS,-93.21193519249587
BH9_01_7P,-93.25963498491174
BH9_01_7R,-92.21420575704025
BH9_01_7TS,-92.5390786754379
BH9_01_8P,-96.92074763405421
BH9_01_8R,-96.16611892033981
BH9_01_8TS,-96.45980609906076
BH9_01_9P,-95.09534655038539
BH9_01_9R1,-22.755034694958457
BH9_01_9R2,-70.609407309891
BH9_01_9TS,-94.26238278294852
BH9_02_100P,-210.34496935769332
BH9_02_100R,-210.5456076833029
BH9_02_100TS,-209.7986103819965
BH9_02_101P,-211.14644339538606
BH9_02_101R,-210.54560785582663
BH9_02_101TS,-209.87280054788258
BH9_02_102P,-210.55941636419573
BH9_02_102R,-210.97928644159194
BH9_02_102TS,-209.9892737924973
BH9_02_103P,-210.55941498187184
BH9_02_103R,-211.07232051627676
BH9_02_103TS,-209.92735063428736
BH9_02_104P,-130.72120490410896
BH9_02_104R,-130.3319809846454
BH9_02_104TS,-129.92478672571778
BH9_02_105P,-130.72120490410896
BH9_02_105R,-131.42655658205666
BH9_02_105TS,-130.12691388875385
BH9_02_106P,-232.06374482180104
BH9_02_106R1,-124.62615573718949
BH9_02_106R2,-107.14598641014368
BH9_02_106TS,-231.7507936584892
BH9_02_107P,-232.41892034677608
BH9_02_107TS,-231.7507936584892
BH9_02_108P,-232.46341757821975
BH9_02_108TS,-231.7507936584892
BH9_02_109P,-123.78679327978847
BH9_02_109R,-123.51711716395295
BH9_02_109TS,-122.06015249360907
BH9_02_10P,-271.545397242518
BH9_02_10R,-269.8051692118591
BH9_02_10TS,-269.74417404933666
BH9_02_110P,-123.96742454973354
BH9_02_110TS,-122.0602062485105
BH9_02_111P,-122.77027012707651
BH9_02_111R,-122.40107805928443
BH9_02_111TS,-121.20746475082314
BH9_02_112P,-258.33903163044
BH9_02_112R1,-150.82457849838661
BH9_02_112R2,-107.14597975476929
BH9_02_112TS,-257.85547672464037
BH9_02_113P,-258.63235298673646
BH9_02_113TS,-257.855478012822
BH9_02_114P,-258.7022726954682
BH9_02_114TS,-257.855478012822
BH9_02_115P,-258.3390316491316
BH9_02_115R1,-150.82457391687413
BH9_02_115R2,-107.14597975476929
BH9_02_115TS,-257.9119751083613
BH9_02_116P,-258.6432600784954
BH9_02_116TS,-257.9119751083613
BH9_02_117P,-258.67259946760475
BH9_02_117TS,-257.9119751083613
BH9_02_118P,-324.2651651902661
BH9_02_118R,-322.94814018475745
BH9_02_118TS,-322.8751973005034
BH9_02_119P,-324.28176611472566
BH9_02_119R,-322.9511156354275
BH9_02_119TS,-322.8751973005034
BH9_02_11P,-271.23787794238916
BH9_02_11R,-269.8051712722576
BH9_02_11TS,-269.5490145828722
BH9_02_120P,-324.3448847452734
BH9_02_120R,-323.1098010167244
BH9_02_120TS,-323.06294522917193
BH9_02_121P,-324.4939885120059
BH9_02_121TS,-323.06294522917193
BH9_02_122P,-336.43746919521374
BH9_02_122R,-335.62703344639885
BH9_02_122TS,-335.52634019216066
BH9_02_123P,-336.69155654740996
BH9_02_123TS,-335.52634019216066
BH9_02_124P,-239.64468018879245
BH9_02_124R,-238.58163179165075
BH9_02_124TS,-238.24333175782903
BH9_02_125P,-239.59677891500212
BH9_02_125TS,-238.24333175782903
BH9_02_126P,-324.2817742552219
BH9_02_126R,-324.26515884309197
BH9_02_126TS,-323.38790079899877
BH9_02_127P,-324.49398848550754
BH9_02_127R,-324.3448769268095
BH9_02_127TS,-323.43135506604307
BH9_02_128P,-163.9198222309405
BH9_02_128R,-163.4798742659754
BH9_02_128TS,-162.37059393008317
BH9_02_129P,-180.61004905465086
BH9_02_129R,-180.12439369249415
BH9_02_129TS,-179.0330595108552
BH9_02_12P,-271.1903313443175
BH9_02_12R,-269.7669983709838
BH9_02_12TS,-269.5799972410552
BH9_02_130P,-219.16343526853223
BH9_02_130R,-219.03802306004422
BH9_02_130TS,-217.63994085183128
BH9_02_131P,-180.72935923768745
BH9_02_131R,-180.23170170326682
BH9_02_131TS,-179.15591797189595
BH9_02_132P,-197.47498659595635
BH9_02_132R,-196.8821861375542
BH9_02_132TS,-195.850314672258
BH9_02_133P,-236.08290734026673
BH9_02_133R,-235.8718416086831
BH9_02_133TS,-234.4875203911214
BH9_02_134P,-79.34868327883156
BH9_02_134R,-78.65827924605345
BH9_02_134TS,-77.37892524719862
BH9_02_135P,-124.74584005660256
BH9_02_135R,-124.00764998998827
BH9_02_135TS,-122.79009760896008
BH9_02_136P,-113.87824982121556
BH9_02_136R,-113.28187330759275
BH9_02_136TS,-112.35055819197999
BH9_02_137P,-165.30923309294792
BH9_02_137R,-164.58561116251863
BH9_02_137TS,-163.74582937259297
BH9_02_138P,-212.22837919036377
BH9_02_138R,-211.6985599794271
BH9_02_138TS,-210.765492219721
BH9_02_139P,-114.96212372891964
BH9_02_139R,-114.17228874610471
BH9_02_139TS,-113.16404401194092
BH9_02_13P,-311.125708444984
BH9_02_13R,-308.88326729755113
BH9_02_13TS,-308.58312310966403
BH9_02_140P,-154.35417256063238
BH9_02_140R,-148.9268454321735
BH9_02_140TS,-147.86779597473355
BH9_02_14P,-311.0710222972931
BH9_02_14R,-308.8095724094012
BH9_02_14TS,-308.57871339157896
BH9_02_15P,-272.1159566740785
BH9_02_15R,-270.38014616173655
BH9_02_15TS,-269.8479019335671
BH9_02_16P,-271.68908252210326
BH9_02_16R,-270.2784756315917
BH9_02_16TS,-269.84713217920626
BH9_02_17P,-258.00237419392755
BH9_02_17R,-256.38566102516023
BH9_02_17TS,-255.77257932995798
BH9_02_18P,-258.1843150571492
BH9_02_18R,-256.3659730967291
BH9_02_18TS,-255.8125744207565
BH9_02_19P,-349.6191569787202
BH9_02_19R,-348.0950673000588
BH9_02_19TS,-347.5401558318173
BH9_02_1P,-244.64184824300645
BH9_02_1R1,-112.45040154075448
BH9_02_1R2,-130.29018159216287
BH9_02_1TS,-242.83872507314953
BH9_02_20P,-349.3858681387687
BH9_02_20R,-347.9270446262153
BH9_02_20TS,-347.4188106320573
BH9_02_21P,-153.1566084828726
BH9_02_21R,-151.3714768050798
BH9_02_21TS,-150.99597536614206
BH9_02_22P,-188.76734422258062
BH9_02_22R,-186.060004313366
BH9_02_22TS,-185.9209749122865
BH9_02_23P,-218.45684756025696
BH9_02_23R,-217.03337779178773
BH9_02_23TS,-216.29910049687604
BH9_02_24P,-146.9193251813851
BH9_02_24R,-143.66578579507728
BH9_02_24TS,-143.58294928729381
BH9_02_25P,-155.59320369558617
BH9_02_25R,-153.33913980591208
BH9_02_25TS,-153.1257381142628
BH9_02_26P,-172.5302178785951
BH9_02_26R,-171.05778642745196
BH9_02_26TS,-170.52195950180862
BH9_02_27P,-189.3481281859289
BH9_02_27R,-187.98455946524146
BH9_02_27TS,-187.26313520879353
BH9_02_28P,-265.10020157287784
BH9_02_28R,-264.7504003057882
BH9_02_28TS,-264.0234421039192
BH9_02_29P,-212.096925691734
BH9_02_29R1,-122.70925271037297
BH9_02_29R2,-88.75149581479945
BH9_02_29TS,-210.9110466638882
BH9_02_2P,-244.60007826398532
BH9_02_2R1,-112.45040306712525
BH9_02_2R2,-130.29018144685352
BH9_02_2TS,-242.70024447237176
BH9_02_30P,-204.24236036697036
BH9_02_30R1,-113.72756409518664
BH9_02_30R2,-88.75149581479945
BH9_02_30TS,-201.99845243198783
BH9_02_31P,-274.34193576723686
BH9_02_31R1,-184.92564993917384
BH9_02_31R2,-88.75149581479945
BH9_02_31TS,-273.0926832597437
BH9_02_32P,-145.14372702462603
BH9_02_32R1,-88.75149581479945
BH9_02_32R2,-54.99162981948621
BH9_02_32TS,-143.2384675531151
BH9_02_33P,-194.24912327456244
BH9_02_33R,-192.709580508676
BH9_02_33TS,-192.83965092106274
BH9_02_34P,-221.2495723787619
BH9_02_34R,-220.12015354391724
BH9_02_34TS,-219.87441420144535
BH9_02_35P,-221.0957790848692
BH9_02_35R,-220.1201571288186
BH9_02_35TS,-220.00006899135175
BH9_02_36P,-247.80586254038303
BH9_02_36R,-246.64074625350253
BH9_02_36TS,-246.54635515261413
BH9_02_37P,-247.93237054666224
BH9_02_37R,-246.62551127657582
BH9_02_37TS,-246.42874799910837
BH9_02_38P,-281.2523448548536
BH9_02_38R,-280.79047694280615
BH9_02_38TS,-280.18523813240154
BH9_02_39P,-281.121619786468
BH9_02_39R,-280.77632412049894
BH9_02_39TS,-280.17162289981866
BH9_02_3P,-244.87322099736497
BH9_02_3R1,-112.37494754837269
BH9_02_3R2,-130.29018146377786
BH9_02_3TS,-243.09221915027095
BH9_02_40P,-207.80045308054287
BH9_02_40R1,-152.31641718899786
BH9_02_40R2,-55.26307153272617
BH9_02_40TS,-207.1325444209685
BH9_02_41P,-192.95579473896345
BH9_02_41R1,-137.6520517324621
BH9_02_41R2,-55.26308174019482
BH9_02_41TS,-192.38927349117034
BH9_02_42P,-132.5639243991971
BH9_02_42R1,-58.68378287277512
BH9_02_42R2,-72.19362053439475
BH9_02_42TS,-130.5638259973183
BH9_02_43P,-132.45506560880963
BH9_02_43R1,-58.68378145229977
BH9_02_43R2,-72.19361878923162
BH9_02_43TS,-130.48467140309367
BH9_02_44P,-123.20395330004418
BH9_02_44R1,-58.68378317124614
BH9_02_44R2,-63.28568754923206
BH9_02_44TS,-121.47912130905848
BH9_02_45P,-98.66902378607128
BH9_02_45R1,-65.2401075498405
BH9_02_45R2,-31.218387127192333
BH9_02_45TS,-96.238139947028
BH9_02_46P,-225.60386783834826
BH9_02_46R,-223.74127327877574
BH9_02_46TS,-223.55355963394157
BH9_02_47P,-156.31997805570964
BH9_02_47R1,-88.75149581479945
BH9_02_47R2,-64.30923636726354
BH9_02_47TS,-153.4213369105357
BH9_02_48P,-209.76608124210733
BH9_02_48R1,-141.79443621721487
BH9_02_48R2,-64.30923461889996
BH9_02_48TS,-206.8112539843523
BH9_02_49P,-247.54253093566322
BH9_02_49R1,-145.84238887965495
BH9_02_49R2,-100.00453695185945
BH9_02_49TS,-245.71875282331507
BH9_02_4P,-244.90658417874042
BH9_02_4R1,-112.37494727024242
BH9_02_4R2,-130.29018415815187
BH9_02_4TS,-243.19781182272277
BH9_02_50P,-246.28515042932133
BH9_02_50R,-246.39704337697205
BH9_02_50TS,-245.138852897026
BH9_02_51P1,-246.4799263841153
BH9_02_51P2,-14.019241215359584
BH9_02_51P3,-14.019240318760573
BH9_02_51R1,-246.2434984807686
BH9_02_51R2,-14.019241215359584
BH9_02_51R3,-14.019241215359584
BH9_02_51TS,-274.24377536296583
BH9_02_52P,-189.1156833720113
BH9_02_52R1,-117.4221510363167
BH9_02_52R2,-70.12858381718398
BH9_02_52TS,-187.39626435649757
BH9_02_53P,-180.48299048901956
BH9_02_53R1,-117.42215123864443
BH9_02_53R2,-61.57808246199018
BH9_02_53TS,-178.75133830308727
BH9_02_54P,-266.9225568041342
BH9_02_54R1,-150.1255094402411
BH9_02_54R2,-115.55049999366267
BH9_02_54TS,-266.1103148741615
BH9_02_55P,-166.7427329927137
BH9_02_55R1,-122.70925175911324
BH9_02_55R2,-42.40457001367084
BH9_02_55TS,-165.07630868569473
BH9_02_56P,-159.58529646353833
BH9_02_56R1,-113.7275137485747
BH9_02_56R2,-42.404556366205064
BH9_02_56TS,-155.93622933426323
BH9_02_57P,-230.35542421280178
BH9_02_57R1,-184.92565062926803
BH9_02_57R2,-42.40455577122479
BH9_02_57TS,-227.20927625055407
BH9_02_58P,-100.15825605024281
BH9_02_58R1,-54.99163225315342
BH9_02_58R2,-42.40455636620506
BH9_02_58TS,-97.22325912808572
BH9_02_59P,-100.04089721478209
BH9_02_59R1,-54.99163203212329
BH9_02_59R2,-42.40455636620506
BH9_02_59TS,-97.25347144742722
BH9_02_5P,-154.1214803775186
BH9_02_5R,-149.86776525889667
BH9_02_5TS,-149.80730820363988
BH9_02_60P,-196.0122486338883
BH9_02_60R1,-150.5508474329814
BH9_02_60R2,-42.40457457581863
BH9_02_60TS,-192.93881766662957
BH9_02_61P,-185.49081310979727
BH9_02_61R1,-135.44256725881974
BH9_02_61R2,-47.94170239986326
BH9_02_61TS,-183.62614792012755
BH9_02_62P,-185.54520153863527
BH9_02_62R1,-135.4425665696454
BH9_02_62R2,-47.94171227941116
BH9_02_62TS,-183.48779722688332
BH9_02_63P,-177.1646423998075
BH9_02_63R,-176.3781301054722
BH9_02_63TS,-175.90499177237925
BH9_02_64P,-194.1794868413451
BH9_02_64R,-192.68005845633812
BH9_02_64TS,-192.57158064973953
BH9_02_65P,-210.94909017336295
BH9_02_65R,-209.40049982656316
BH9_02_65TS,-209.034099030422
BH9_02_66P,-210.95475911213603
BH9_02_66R,-209.18451706912956
BH9_02_66TS,-209.17488319979878
BH9_02_67P,-320.36495855257715
BH9_02_67R1,-132.79718052807138
BH9_02_67R2,-186.8393422081452
BH9_02_67TS,-319.6761609573118
BH9_02_68P,-281.7150130572085
BH9_02_68R1,-94.05019484236084
BH9_02_68R2,-186.84856502603958
BH9_02_68TS,-280.9601561539237
BH9_02_69P,-281.7118287562412
BH9_02_69R1,-94.30034486617097
BH9_02_69R2,-186.84856485163382
BH9_02_69TS,-281.02666244797314
BH9_02_6P,-153.3144943503172
BH9_02_6R,-151.50403544401692
BH9_02_6TS,-151.08652231862547
BH9_02_70P,-280.5692116874215
BH9_02_70R,-280.7904749641319
BH9_02_70TS,-280.0119394167405
BH9_02_71P,-280.622541459751
BH9_02_71R,-280.77791497461396
BH9_02_71TS,-280.20896663170817
BH9_02_72P,-281.25426222032445
BH9_02_72R,-281.2649859008693
