,MACE-OMOL-0-100M,MACE-OMOL-0-4M
V30_CH4_CH4_12-,-2203.658004451976,-2203.647514979931
V30_CH4_CH4_14+,-2203.6580044037905,-2203.6475149343432
V30_CH4_CH4_14-,-2203.6580044037905,-2203.6475149343432
V30_CH4_CH4_16+,-2203.658028172826,-2203.6475414832626
V30_CH4_CH4_16-,-2203.657955296023,-2203.6474630242633
V30_CH4_CH4_18+,-2203.657990514764,-2203.647501046437
V30_CH4_CH4_18-,-2203.6579905069534,-2203.647501037898
V30_CH4_CH4_2+,-2203.6580076634823,-2203.6475183279513
V30_CH4_CH4_2-,-2203.658007678932,-2203.647518338552
V30_CH4_CH4_21+,-2203.657992271741,-2203.647505052794
V30_CH4_CH4_21-,-2203.657988720121,-2203.6474969646915
V30_CH4_CH4_3+,-2203.6580103867263,-2203.64753456455
V30_CH4_CH4_3-,-2203.6580058191003,-2203.647502822857
V30_CH4_CH4_4+,-2203.6580073738487,-2203.647517999968
V30_CH4_CH4_4-,-2203.6580073738487,-2203.647517999968
V30_CH4_CH4_5+,-2203.658007373848,-2203.6475179999657
V30_CH4_CH4_5-,-2203.658007373848,-2203.6475179999657
V30_CH4_CH4_6+,-2203.65800562001,-2203.647516151773
V30_CH4_CH4_6-,-2203.65800562001,-2203.647516151773
V30_CH4_CH4_7+,-2203.65800559825,-2203.6475161296175
V30_CH4_CH4_7-,-2203.65800559825,-2203.6475161296175
V30_CH4_CH4_9+,-2203.6580055795257,-2203.647516111327
V30_CH4_CH4_9-,-2203.658005585635,-2203.647516118096
V30_CH4_N2,-4082.902447576688,-4082.9026424866156
V30_CH4_N2_10+,-4082.901795508006,-4082.9019828339588
V30_CH4_N2_10-,-4082.903078600101,-4082.9032808769593
V30_CH4_N2_11+,-4082.9024558667616,-4082.9026513739564
V30_CH4_N2_11-,-4082.90240512891,-4082.9025994097833
V30_CH4_N2_12+,-4082.902430037784,-4082.902625192788
V30_CH4_N2_12-,-4082.9024285076957,-4082.902623171739
V30_CH4_N2_13+,-4082.9024292718846,-4082.902624187772
V30_CH4_N2_13-,-4082.9024292718846,-4082.902624187772
V30_CH4_N2_14+,-4082.9024283320655,-4082.9026240523312
V30_CH4_N2_14-,-4082.902430145376,-4082.9026243497497
V30_CH4_N2_2+,-4082.9024258259337,-4082.90260768221
V30_CH4_N2_2-,-4082.902468298015,-4082.902676012999
V30_CH4_N2_3+,-4082.9024522946265,-4082.9026447714323
V30_CH4_N2_3-,-4082.902440356826,-4082.90263739645
V30_CH4_N2_4+,-4082.902445969967,-4082.902640660216
V30_CH4_N2_4-,-4082.902445969967,-4082.902640660216
V30_CH4_N2_5+,-4082.9024397438384,-4082.9026360483385
V30_CH4_N2_5-,-4082.902448945469,-4082.90264244386
V30_CH4_N2_6+,-4082.902446305325,-4082.902642323065
V30_CH4_N2_6-,-4082.902442380551,-4082.902636165887
V30_CH4_N2_8+,-4082.9024431827243,-4082.9026380760033
V30_CH4_N2_8-,-4082.9024431827243,-4082.9026380760033
V30_CH4_N2_9+,-4082.902442618522,-4082.902637459217
V30_CH4_N2_9-,-4082.902443743396,-4082.902638690801
V30_CO2_Ar,-19486.980384206672,-19485.95692101414
V30_CO2_Ar_1+,-19486.98041759537,-19485.95697892246
V30_CO2_Ar_1-,-19486.980350433532,-19485.956862605675
V30_CO2_Ar_2+,-19486.980375520572,-19485.95689509865
V30_CO2_Ar_2-,-19486.980376860356,-19485.95693139147
V30_CO2_Ar_3+,-19486.980376106338,-19485.956913158112
V30_CO2_Ar_3-,-19486.980376106338,-19485.956913158112
V30_CO2_Ar_4+,-19486.98057071504,-19485.957106241738
V30_CO2_Ar_4-,-19486.980190844715,-19485.956728956353
V30_CO2_Ar_5+,-19486.980373924252,-19485.95691063636
V30_CO2_Ar_5-,-19486.980373924252,-19485.95691063636
V30_CO2_CO2,-10265.506069555411,-10265.504433720345
V30_CO2_CO2_1+,-10265.506067977194,-10265.504432191456
V30_CO2_CO2_1-,-10265.506067977194,-10265.504432191456
V30_CO2_CO2_10+,-10265.5060826566,-10265.504440139184
V30_CO2_CO2_10-,-10265.506035843442,-10265.504407052962
V30_CO2_CO2_11+,-10265.506059183905,-10265.50442354688
V30_CO2_CO2_11-,-10265.506059183905,-10265.50442354688
V30_CO2_CO2_2+,-10265.506083061902,-10265.504429613702
V30_CO2_CO2_2-,-10265.506054801197,-10265.504436643037
V30_CO2_CO2_3+,-10265.50607223407,-10265.504418465911
V30_CO2_CO2_3-,-10265.5060663097,-10265.504448440832
V30_CO2_CO2_4+,-10265.506061597029,-10265.504425830362
V30_CO2_CO2_4-,-10265.506061597029,-10265.504425830362
V30_CO2_CO2_5+,-10265.506061565959,-10265.504425822755
V30_CO2_CO2_5-,-10265.506061565959,-10265.504425822755
V30_CO2_CO2_6+,-10265.506055080792,-10265.50441193355
V30_CO2_CO2_6-,-10265.506068000004,-10265.50443953954
V30_CO2_CO2_7+,-10265.506061476688,-10265.504425713498
V30_CO2_CO2_7-,-10265.506061476688,-10265.504425713498
V30_CO2_CO2_8+,-10265.505802243839,-10265.504166752093
V30_CO2_CO2_8-,-10265.506329999915,-10265.504693994963
V30_CO2_N2,-8113.825644090337,-8113.817988789868
V30_CO2_N2_2+,-8113.825631891944,-8113.81798684587
V30_CO2_N2_2-,-8113.825655150108,-8113.817989423967
V30_CO2_N2_3+,-8113.825636719744,-8113.81798177499
V30_CO2_N2_3-,-8113.825636719744,-8113.81798177499
V30_CO2_N2_4+,-8113.82562784753,-8113.817995951656
V30_CO2_N2_4-,-8113.825644335963,-8113.817965889205
V30_CO2_N2_5+,-8113.825636036935,-8113.817980883411
V30_CO2_N2_5-,-8113.825636036935,-8113.817980883411
V30_CO2_N2_6+,-8113.825454660415,-8113.817802469348
V30_CO2_N2_6-,-8113.825826652184,-8113.818168385276
V30_CO2_N2_7+,-8113.8249864335085,-8113.817329402679
V30_CO2_N2_7-,-8113.826280643366,-8113.818627548419
V30_CO2_N2_8+,-8113.825633751055,-8113.817978605933
V30_CO2_N2_8-,-8113.825633751055,-8113.817978605933
V30_CO_Ar,-17438.341809147518,-17437.280840474057
V30_CO_Ar_2+,-17438.3414507728,-17437.2805566831
V30_CO_Ar_2-,-17438.342150190794,-17437.281107471714
V30_CO_CO,-6168.227441187825,-6168.242527176256
V30_CO_CO_3+,-6168.227402196807,-6168.242511594599
V30_CO_CO_3-,-6168.227468319668,-6168.242530960054
V30_CO_CO_4+,-6168.227432405809,-6168.242518456647
V30_CO_CO_4-,-6168.227432405809,-6168.242518456647
V30_CO_CO_5+,-6168.226939770892,-6168.24201335677
V30_CO_CO_5-,-6168.22792503204,-6168.24302353478
V30_H2O_Ar,-16434.116124651373,-16432.99084724781
V30_H2O_Ar_1+,-16434.116097171096,-16432.99091321461
V30_H2O_Ar_1-,-16434.11615901606,-16432.990791588043
V30_H2O_Ar_2+,-16434.116133135718,-16432.99085940092
V30_H2O_Ar_2-,-16434.116133135718,-16432.99085940092
V30_H2O_Ar_3+,-16434.116182534857,-16432.990894030452
V30_H2O_Ar_3-,-16434.11605714256,-16432.990790960812
V30_H2O_Ar_4+,-16434.1163309947,-16432.991112997883
V30_H2O_Ar_4-,-16434.115863806193,-16432.990527440208
V30_H2O_Ar_5+,-16434.116097289567,-16432.990807648002
V30_H2O_Ar_5-,-16434.116094744364,-16432.990830185434
V30_H2O_CH4,-3181.7243433891704,-3181.716942375113
V30_H2O_CH4_1+,-3181.7243320990183,-3181.7169367983574
V30_H2O_CH4_1-,-3181.724359968266,-3181.716953456521
V30_H2O_CH4_10+,-3181.724338968394,-3181.7169379369693
V30_H2O_CH4_10-,-3181.724338968394,-3181.7169379369693
V30_H2O_CH4_11+,-3181.7244027771876,-3181.7170000450114
V30_H2O_CH4_11-,-3181.7242743282313,-3181.7168750205165
V30_H2O_CH4_12+,-3181.7243499762,-3181.7169520537345
V30_H2O_CH4_12-,-3181.72430276058,-3181.716898502334
V30_H2O_CH4_13+,-3181.7243219610928,-3181.716922248748
V30_H2O_CH4_13-,-3181.724328408882,-3181.7169259312477
V30_H2O_CH4_14+,-3181.7243251366413,-3181.7169240319645
V30_H2O_CH4_14-,-3181.7243251366413,-3181.7169240319645
V30_H2O_CH4_15+,-3181.724315778296,-3181.7169153600007
V30_H2O_CH4_15-,-3181.7243343354057,-3181.716932537996
V30_H2O_CH4_16+,-3181.7240855858104,-3181.7166860997067
V30_H2O_CH4_16-,-3181.724546658399,-3181.7171441208084
V30_H2O_CH4_17+,-3181.724316955134,-3181.7169163675694
V30_H2O_CH4_17-,-3181.7243125948867,-3181.716911204915
V30_H2O_CH4_2+,-3181.7243491338395,-3181.7169364215333
V30_H2O_CH4_2-,-3181.7243345399693,-3181.7169452980424
V30_H2O_CH4_3+,-3181.7243430736416,-3181.7169421288877
V30_H2O_CH4_3-,-3181.7243430736416,-3181.7169421288877
V30_H2O_CH4_5+,-3181.724343511967,-3181.716942534837
V30_H2O_CH4_5-,-3181.724343511967,-3181.716942534837
V30_H2O_CH4_6+,-3181.724340152642,-3181.716939120432
V30_H2O_CH4_6-,-3181.724340152642,-3181.716939120432
V30_H2O_CH4_7+,-3181.7243323313937,-3181.71693347063
V30_H2O_CH4_7-,-3181.7243479548993,-3181.7169447517344
V30_H2O_CH4_8+,-3181.724354564176,-3181.7169490004167
V30_H2O_CH4_8-,-3181.7243257097725,-3181.7169292157923
V30_H2O_CH4_9+,-3181.7243494730483,-3181.7169467891167
V30_H2O_CH4_9-,-3181.7243284931924,-3181.716929119176
V30_H2O_CO2,-7212.719572830693,-7212.715626144207
V30_H2O_CO2_1+,-7212.719576320066,-7212.715631686415
V30_H2O_CO2_1-,-7212.719576320066,-7212.715631686415
V30_H2O_CO2_10+,-7212.719329956077,-7212.715376694488
V30_H2O_CO2_10-,-7212.719760982171,-7212.715821201747
V30_H2O_CO2_11+,-7212.71954408561,-7212.715597562543
V30_H2O_CO2_11-,-7212.71954408561,-7212.715597562543
V30_H2O_CO2_2+,-7212.719571570719,-7212.715612635797
V30_H2O_CO2_2-,-7212.719573649219,-7212.715639245273
V30_H2O_CO2_3+,-7212.719573346785,-7212.7156267011605
V30_H2O_CO2_3-,-7212.719573346785,-7212.7156267011605
V30_H2O_CO2_4+,-7212.7195726291675,-7212.715625993775
V30_H2O_CO2_4-,-7212.7195726291675,-7212.715625993775
V30_H2O_CO2_5+,-7212.719543767629,-7212.715611406874
V30_H2O_CO2_5-,-7212.7195863974885,-7212.715625683483
V30_H2O_CO2_6+,-7212.719564809618,-7212.7156182728195
V30_H2O_CO2_6-,-7212.719564809618,-7212.7156182728195
V30_H2O_CO2_7+,-7212.719748032283,-7212.715797010446
V30_H2O_CO2_7-,-7212.71939076857,-7212.71544861948
V30_H2O_CO2_8+,-7212.7194918033865,-7212.7155570184495
V30_H2O_CO2_8-,-7212.719644233674,-7212.715685775056
V30_H2O_CO2_9+,-7212.719562479165,-7212.715616064969
V30_H2O_CO2_9-,-7212.719562479165,-7212.715616064969
V30_H2O_H2O,-4159.947318074095,-4159.946050973906
V30_H2O_H2O_10+,-4159.947376800349,-4159.94610947697
V30_H2O_H2O_10-,-4159.947202614131,-4159.945935807129
V30_H2O_H2O_11+,-4159.947289497387,-4159.946022389623
V30_H2O_H2O_11-,-4159.947289497387,-4159.946022389623
V30_H2O_H2O_2+,-4159.9473063447,-4159.946035915047
V30_H2O_H2O_2-,-4159.947329879078,-4159.946066111652
V30_H2O_H2O_3+,-4159.947296607817,-4159.9460311400235
V30_H2O_H2O_3-,-4159.947338743384,-4159.946069979471
V30_H2O_H2O_4+,-4159.947342233531,-4159.946075441723
V30_H2O_H2O_4-,-4159.947291294431,-4159.946023883095
V30_H2O_H2O_5+,-4159.947312774446,-4159.946045634579
V30_H2O_H2O_5-,-4159.947312774446,-4159.946045634579
V30_H2O_H2O_6+,-4159.947366205948,-4159.946099248147
V30_H2O_H2O_6-,-4159.947260289091,-4159.945993021377
V30_H2O_H2O_7+,-4159.947236570215,-4159.945968036908
V30_H2O_H2O_7-,-4159.94738971201,-4159.946124032953
V30_H2O_H2O_8+,-4159.9475505054115,-4159.94628549722
V30_H2O_H2O_8-,-4159.947033512432,-4159.945764198438
V30_H2O_H2O_9+,-4159.947084333682,-4159.945815781109
V30_H2O_H2O_9-,-4159.947497279788,-4159.946231562067
V30_H2O_NH3,-3618.962686326579,-3618.9591053281993
V30_H2O_NH3_1+,-3618.962675957317,-3618.9590963291002
V30_H2O_NH3_1-,-3618.9626962816287,-3618.9591139187173
V30_H2O_NH3_10+,-3618.9626053434918,-3618.9590199515665
V30_H2O_NH3_10-,-3618.962722801774,-3618.959145674465
V30_H2O_NH3_11+,-3618.9626567421983,-3618.959074978189
V30_H2O_NH3_11-,-3618.9626684903724,-3618.9590878667145
V30_H2O_NH3_12+,-3618.962662636845,-3618.959081341162
V30_H2O_NH3_12-,-3618.962662636845,-3618.959081341162
V30_H2O_NH3_13+,-3618.9624467577923,-3618.9588599953804
V30_H2O_NH3_13-,-3618.962877003278,-3618.9593013801755
V30_H2O_NH3_14+,-3618.9627665106536,-3618.9591854864975
V30_H2O_NH3_14-,-3618.9625497054635,-3618.958968501239
V30_H2O_NH3_2+,-3618.962686076975,-3618.959105079325
V30_H2O_NH3_2-,-3618.962686076975,-3618.959105079325
V30_H2O_NH3_3+,-3618.9626737955205,-3618.9590948985515
V30_H2O_NH3_3-,-3618.962697596817,-3618.959114504293
V30_H2O_NH3_4+,-3618.962701980872,-3618.959112599172
V30_H2O_NH3_4-,-3618.962665497319,-3618.9590928959387
V30_H2O_NH3_5+,-3618.962679518336,-3618.959098440078
V30_H2O_NH3_5-,-3618.962679518336,-3618.959098440078
V30_H2O_NH3_6+,-3618.9626136834027,-3618.959030543736
V30_H2O_NH3_6-,-3618.962754562338,-3618.959175699927
V30_H2O_NH3_7+,-3618.9627144709325,-3618.9591339542
V30_H2O_NH3_7-,-3618.9626482920785,-3618.959066739371
V30_H2O_NH3_8+,-3618.962681303939,-3618.9591002597317
V30_H2O_NH3_8-,-3618.962681303939,-3618.9591002597317
V30_H2O_NH3_9+,-3618.9627289492832,-3618.959150412991
V30_H2O_NH3_9-,-3618.962633567764,-3618.9590500647005
V30_HF_Ar,-17087.93133470783,-17086.815833933175
V30_HF_Ar_0+,-17087.93139500919,-17086.815795864757
V30_HF_Ar_0-,-17087.93127200573,-17086.815872313386
V30_HF_Ar_1+,-17087.931337215487,-17086.815838630588
V30_HF_Ar_1-,-17087.931337215487,-17086.815838630588
V30_HF_Ar_3+,-17087.9317423519,-17086.81644724105
V30_HF_Ar_3-,-17087.93086331754,-17086.815158222453
V30_HF_C2H2,-4838.022528789735,-4838.023550726906
V30_HF_C2H2_0+,-4838.02252411292,-4838.0235460785325
V30_HF_C2H2_0-,-4838.02252411292,-4838.0235460785325
V30_HF_C2H2_1+,-4838.022531916496,-4838.0235481524305
V30_HF_C2H2_1-,-4838.022524995082,-4838.023552656723
V30_HF_C2H2_10+,-4838.022303209939,-4838.023337472549
V30_HF_C2H2_10-,-4838.022709285216,-4838.023719082921
V30_HF_C2H2_11+,-4838.022071673078,-4838.023218269788
V30_HF_C2H2_11-,-4838.022927214065,-4838.023828210805
V30_HF_C2H2_2+,-4838.022528058632,-4838.023549856067
V30_HF_C2H2_2-,-4838.022528056979,-4838.023549854658
V30_HF_C2H2_3+,-4838.022526592153,-4838.02354828832
V30_HF_C2H2_3-,-4838.022526592153,-4838.02354828832
V30_HF_C2H2_4+,-4838.022520899742,-4838.023542846105
V30_HF_C2H2_4-,-4838.022520899742,-4838.023542846105
V30_HF_C2H2_5+,-4838.022520469115,-4838.023542312672
V30_HF_C2H2_5-,-4838.022520469115,-4838.023542312672
V30_HF_C2H2_6+,-4838.022519002335,-4838.023540976754
V30_HF_C2H2_6-,-4838.022519014114,-4838.023540988503
V30_HF_C2H2_7+,-4838.022519971461,-4838.023503865336
V30_HF_C2H2_7-,-4838.0225170412305,-4838.023576781277
V30_HF_C2H2_8+,-4838.022952982343,-4838.023970166293
V30_HF_C2H2_8-,-4838.022089446657,-4838.023116141038
V30_HF_C2H2_9+,-4838.022507456607,-4838.023529447455
V30_HF_C2H2_9-,-4838.022507456607,-4838.023529447455
V30_HF_CH4,-3835.598383903744,-3835.6051313237454
V30_HF_CH4_0+,-3835.5983836580103,-3835.605131049851
V30_HF_CH4_0-,-3835.598383657817,-3835.60513104486
V30_HF_CH4_10+,-3835.5983776965218,-3835.6051338248617
V30_HF_CH4_10-,-3835.5983562522747,-3835.605095004133
V30_HF_CH4_11+,-3835.5983657786787,-3835.605113224022
V30_HF_CH4_11-,-3835.5983657786787,-3835.605113224022
V30_HF_CH4_13+,-3835.5983500671637,-3835.6050985765764
V30_HF_CH4_13-,-3835.598381162283,-3835.605127182543
V30_HF_CH4_14+,-3835.5979710497877,-3835.604725302488
V30_HF_CH4_14-,-3835.5987341140144,-3835.6054749760146
V30_HF_CH4_2+,-3835.598393353372,-3835.60512834278
V30_HF_CH4_2-,-3835.5983739665458,-3835.605133772276
V30_HF_CH4_3+,-3835.59838508651,-3835.605132195319
V30_HF_CH4_3-,-3835.59838508651,-3835.605132195319
V30_HF_CH4_5+,-3835.5983806570566,-3835.605128062791
V30_HF_CH4_5-,-3835.5983806570566,-3835.605128062791
V30_HF_CH4_7+,-3835.598346787106,-3835.605097549901
V30_HF_CH4_7-,-3835.598414547741,-3835.6051586141434
V30_HF_CH4_8+,-3835.5983794545728,-3835.6051268848723
V30_HF_CH4_8-,-3835.598379495206,-3835.6051269256554
V30_HF_CH4_9+,-3835.598379474884,-3835.605126905259
V30_HF_CH4_9-,-3835.598379474884,-3835.605126905259
V30_HF_CO,-5817.905001769235,-5817.890542425429
V30_HF_CO_0+,-5817.904996596962,-5817.890537319237
V30_HF_CO_0-,-5817.904996596962,-5817.890537319237
