,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
V30_C2H4_Ar_1+,-16492.210426511305,-16492.195800782272,-16492.215661410515
V30_C2H4_Ar_1-,-16492.210475777472,-16492.195778594665,-16492.215676184584
V30_C2H4_Ar_10+,-16492.210704244695,-16492.196049999035,-16492.215922589203
V30_C2H4_Ar_10-,-16492.210188592886,-16492.195519709225,-16492.2154055036
V30_C2H4_Ar_11+,-16492.210433559794,-16492.19577170448,-16492.2156508813
V30_C2H4_Ar_11-,-16492.210433559794,-16492.19577179761,-16492.21565094713
V30_C2H4_Ar_12+,-16492.210482683444,-16492.195830511122,-16492.21571768485
V30_C2H4_Ar_12-,-16492.210384091937,-16492.19571269003,-16492.215583824272
V30_C2H4_Ar_13+,-16492.210432657608,-16492.195770889302,-16492.21565002582
V30_C2H4_Ar_13-,-16492.210432657608,-16492.195770912105,-16492.215650011527
V30_C2H4_Ar_14+,-16492.210417491162,-16492.195769692567,-16492.21565515818
V30_C2H4_Ar_14-,-16492.210447131038,-16492.195771523515,-16492.215644293825
V30_C2H4_Ar_2+,-16492.21044843086,-16492.19578687692,-16492.215665917247
V30_C2H4_Ar_2-,-16492.21044843086,-16492.195786675562,-16492.215665877833
V30_C2H4_Ar_3+,-16492.210382824174,-16492.195773700463,-16492.215679713772
V30_C2H4_Ar_3-,-16492.21049833061,-16492.195783558564,-16492.21563608954
V30_C2H4_Ar_4+,-16492.210435607536,-16492.195773802912,-16492.215652892326
V30_C2H4_Ar_4-,-16492.210435607536,-16492.195773804247,-16492.21565289579
V30_C2H4_Ar_5+,-16492.21043616165,-16492.19577479223,-16492.215653792806
V30_C2H4_Ar_5-,-16492.21043616165,-16492.195773868923,-16492.215652934992
V30_C2H4_Ar_6+,-16492.210449469563,-16492.19578794836,-16492.215667124547
V30_C2H4_Ar_6-,-16492.210449469563,-16492.195787948076,-16492.215667124492
V30_C2H4_Ar_7+,-16492.210448726317,-16492.19578715585,-16492.215666338354
V30_C2H4_Ar_7-,-16492.210448726317,-16492.195787194963,-16492.21566635795
V30_C2H4_Ar_8+,-16492.210593229123,-16492.195920138212,-16492.215805858086
V30_C2H4_Ar_8-,-16492.210303083302,-16492.195652984075,-16492.21552563711
V30_C2H4_Ar_9+,-16492.210447647914,-16492.195786035863,-16492.21566524079
V30_C2H4_Ar_9-,-16492.210447647914,-16492.19578610786,-16492.21566527068
V30_CH3OH_H2O,-5228.905418909035,-5228.907296294911,-5228.907932331575
V30_CH3OH_H2O_0+,-5228.905410575635,-5228.90731766462,-5228.907951504497
V30_CH3OH_H2O_0-,-5228.9054268154705,-5228.907274603894,-5228.9079128819885
V30_CH3OH_H2O_1+,-5228.905425844449,-5228.907302551151,-5228.907938602342
V30_CH3OH_H2O_1-,-5228.905425844449,-5228.907303416786,-5228.907939493255
V30_CH3OH_H2O_10+,-5228.905459346006,-5228.9073330989295,-5228.907970156382
V30_CH3OH_H2O_10-,-5228.9053711357665,-5228.907252195964,-5228.907887216923
V30_CH3OH_H2O_11+,-5228.905447432031,-5228.907325059945,-5228.907960354715
V30_CH3OH_H2O_11-,-5228.9053824199445,-5228.907259591262,-5228.907896374943
V30_CH3OH_H2O_12+,-5228.9054148577725,-5228.907292292005,-5228.9079283164765
V30_CH3OH_H2O_12-,-5228.9054148577725,-5228.907292148173,-5228.907928198921
V30_CH3OH_H2O_13+,-5228.905428354833,-5228.9073017257515,-5228.907938203446
V30_CH3OH_H2O_13-,-5228.9054011537555,-5228.907282560233,-5228.907918171393
V30_CH3OH_H2O_14+,-5228.90534575431,-5228.907222970751,-5228.907858554856
V30_CH3OH_H2O_14-,-5228.9054823437045,-5228.907359932015,-5228.907996425626
V30_CH3OH_H2O_15+,-5228.9054101708225,-5228.907282916317,-5228.907918692084
V30_CH3OH_H2O_15-,-5228.905394432331,-5228.907276304135,-5228.9079126318165
V30_CH3OH_H2O_16+,-5228.905401744102,-5228.907279217302,-5228.907915241746
V30_CH3OH_H2O_16-,-5228.905401744102,-5228.9072789694255,-5228.907915046583
V30_CH3OH_H2O_17+,-5228.905412890716,-5228.907284723845,-5228.907922597634
V30_CH3OH_H2O_17-,-5228.905389149779,-5228.907272030383,-5228.907906227526
V30_CH3OH_H2O_18+,-5228.905193071017,-5228.907074196049,-5228.907712452528
V30_CH3OH_H2O_18-,-5228.9055922605485,-5228.907465924147,-5228.908099775358
V30_CH3OH_H2O_19+,-5228.905598222177,-5228.907476662992,-5228.908113220895
V30_CH3OH_H2O_19-,-5228.905185034638,-5228.907061256675,-5228.907696771801
V30_CH3OH_H2O_2+,-5228.905420665162,-5228.907297642242,-5228.907933814094
V30_CH3OH_H2O_2-,-5228.905420665162,-5228.90729850807,-5228.907934462599
V30_CH3OH_H2O_20+,-5228.905390261162,-5228.9072675279285,-5228.90790354491
V30_CH3OH_H2O_20-,-5228.905390261162,-5228.907267769321,-5228.90790381158
V30_CH3OH_H2O_3+,-5228.905415199503,-5228.907296651976,-5228.907931240556
V30_CH3OH_H2O_3-,-5228.905421735054,-5228.90729510122,-5228.907932596976
V30_CH3OH_H2O_4+,-5228.9054190060715,-5228.907296668162,-5228.907932638277
V30_CH3OH_H2O_4-,-5228.9054190060715,-5228.907296143189,-5228.907932253874
V30_CH3OH_H2O_5+,-5228.905377141453,-5228.907262849461,-5228.9079045315575
V30_CH3OH_H2O_5-,-5228.905459448534,-5228.9073286186995,-5228.907959081074
V30_CH3OH_H2O_6+,-5228.905412740367,-5228.907290412415,-5228.907926323171
V30_CH3OH_H2O_6-,-5228.905412740367,-5228.907289557197,-5228.907925689042
V30_CH3OH_H2O_7+,-5228.905382509678,-5228.907263439948,-5228.907898911373
V30_CH3OH_H2O_7-,-5228.9054510088,-5228.907324861664,-5228.907961459965
V30_CH3OH_H2O_8+,-5228.905426748964,-5228.907298351502,-5228.90793497651
V30_CH3OH_H2O_8-,-5228.9054065830005,-5228.907289753609,-5228.907925194664
V30_CH3OH_H2O_9+,-5228.905416383716,-5228.907293793884,-5228.907929839565
V30_CH3OH_H2O_9-,-5228.905416383716,-5228.9072937720475,-5228.907929798737
V30_CH4_Ar,-15456.073402530246,-15456.108478347847,-15456.116601769188
V30_CH4_Ar_0+,-15456.073466358834,-15456.108466277474,-15456.116601426476
V30_CH4_Ar_0-,-15456.073338134855,-15456.10848968171,-15456.116601342319
V30_CH4_Ar_1+,-15456.073403033959,-15456.108477179361,-15456.116600771966
V30_CH4_Ar_1-,-15456.073403033959,-15456.108477078826,-15456.116600626576
V30_CH4_Ar_11+,-15456.073379744985,-15456.108465071768,-15456.116585764501
V30_CH4_Ar_11-,-15456.073388618799,-15456.108455144355,-15456.116581108377
V30_CH4_Ar_2+,-15456.073403031909,-15456.108477185315,-15456.11660077728
V30_CH4_Ar_2-,-15456.07340302864,-15456.108477076516,-15456.116600624362
V30_CH4_Ar_3+,-15456.073365743836,-15456.108479775876,-15456.116595199726
V30_CH4_Ar_3-,-15456.073433014119,-15456.108470436,-15456.116601901536
V30_CH4_Ar_5+,-15456.07339936597,-15456.108475103263,-15456.116598469089
V30_CH4_Ar_5-,-15456.07339936597,-15456.10847516197,-15456.116598591743
V30_CH4_Ar_7+,-15456.073398309003,-15456.108473928578,-15456.116597352076
V30_CH4_Ar_7-,-15456.073398304468,-15456.108473983226,-15456.116597378448
V30_CH4_Ar_8+,-15456.073415967387,-15456.108429639315,-15456.116556721743
V30_CH4_Ar_8-,-15456.073354803842,-15456.108493048738,-15456.116612667005
V30_CH4_Ar_9+,-15456.07338423472,-15456.10846001687,-15456.116583419638
V30_CH4_Ar_9-,-15456.07338423472,-15456.108460153455,-15456.116583527963
V30_CH4_CH4,-2203.652390257344,-2203.647771900351,-2203.6436562567123
V30_CH4_CH4_1+,-2203.652389853175,-2203.6477708163848,-2203.6436551596657
V30_CH4_CH4_1-,-2203.652389784861,-2203.6477708279535,-2203.6436551714237
V30_CH4_CH4_11+,-2203.652374159702,-2203.647766295676,-2203.6436499649353
V30_CH4_CH4_11-,-2203.6523999042406,-2203.6477709996484,-2203.643656031891
V30_CH4_CH4_12+,-2203.652385951338,-2203.6477675195565,-2203.643651879595
V30_CH4_CH4_12-,-2203.652385958548,-2203.647767517524,-2203.643651878115
V30_CH4_CH4_14+,-2203.6523858295427,-2203.6477674990088,-2203.6436518503356
V30_CH4_CH4_14-,-2203.6523858295427,-2203.647767445309,-2203.643651812944
V30_CH4_CH4_16+,-2203.6524169125096,-2203.647793100173,-2203.6436768809453
V30_CH4_CH4_16-,-2203.652329355283,-2203.647716554598,-2203.643601447357
V30_CH4_CH4_18+,-2203.6523718965777,-2203.647753597916,-2203.6436379519632
V30_CH4_CH4_18-,-2203.6523718945364,-2203.6477535898293,-2203.6436379446645
V30_CH4_CH4_2+,-2203.6523898586547,-2203.6477708163934,-2203.6436551591337
V30_CH4_CH4_2-,-2203.652389806054,-2203.647770827408,-2203.6436551714646
V30_CH4_CH4_21+,-2203.6523812701225,-2203.647755248899,-2203.6436404785395
V30_CH4_CH4_21-,-2203.6523627454712,-2203.647751848686,-2203.643635351688
V30_CH4_CH4_3+,-2203.6524340491187,-2203.6477759510713,-2203.6436618815414
V30_CH4_CH4_3-,-2203.6523480023816,-2203.647766422563,-2203.643649205319
V30_CH4_CH4_4+,-2203.6523904689548,-2203.6477705465472,-2203.6436547274175
V30_CH4_CH4_4-,-2203.6523904689548,-2203.647770556868,-2203.6436548742186
V30_CH4_CH4_5+,-2203.652390502963,-2203.6477705518464,-2203.6436548009237
V30_CH4_CH4_5-,-2203.652390502963,-2203.6477705516445,-2203.643654800738
V30_CH4_CH4_6+,-2203.652387077231,-2203.647768766623,-2203.6436531333684
V30_CH4_CH4_6-,-2203.652387077231,-2203.6477686241005,-2203.6436529690477
V30_CH4_CH4_7+,-2203.652387008674,-2203.647768667409,-2203.6436530237447
V30_CH4_CH4_7-,-2203.652387008674,-2203.647768670308,-2203.6436530278565
V30_CH4_CH4_9+,-2203.6523870241604,-2203.647768650429,-2203.6436530080005
V30_CH4_CH4_9-,-2203.6523870375804,-2203.647768654707,-2203.6436530132737
V30_CH4_N2,-4082.899381147051,-4082.896548758647,-4082.8954068600074
V30_CH4_N2_10+,-4082.8987223096183,-4082.895886436429,-4082.8947530662517
V30_CH4_N2_10-,-4082.900019046662,-4082.89719009095,-4082.8960394785913
V30_CH4_N2_11+,-4082.899387612218,-4082.8965586869417,-4082.8954194578105
V30_CH4_N2_11-,-4082.899340635561,-4082.896504738698,-4082.895360082668
V30_CH4_N2_12+,-4082.8993666996166,-4082.896531140363,-4082.895389929874
V30_CH4_N2_12-,-4082.8993591348367,-4082.896529800861,-4082.895387151791
V30_CH4_N2_13+,-4082.8993629213505,-4082.896530454555,-4082.8953885338924
V30_CH4_N2_13-,-4082.8993629213505,-4082.8965304845747,-4082.895388562955
V30_CH4_N2_14+,-4082.89934647156,-4082.8965296422093,-4082.895386174065
V30_CH4_N2_14-,-4082.8993790594664,-4082.8965312044174,-4082.8953908349777
V30_CH4_N2_2+,-4082.8993743311507,-4082.8965266655337,-4082.8953903173356
V30_CH4_N2_2-,-4082.899386245107,-4082.8965698544976,-4082.895422392549
V30_CH4_N2_3+,-4082.8993853979277,-4082.8965488445283,-4082.895404759917
V30_CH4_N2_3-,-4082.8993749433334,-4082.8965461164466,-4082.8954062289154
V30_CH4_N2_4+,-4082.89937931241,-4082.8965472790483,-4082.8954050614675
V30_CH4_N2_4-,-4082.89937931241,-4082.896547182479,-4082.8954049939734
V30_CH4_N2_5+,-4082.899388495739,-4082.8965410493265,-4082.8954010470893
V30_CH4_N2_5-,-4082.899367413876,-4082.8965499934266,-4082.89540619797
V30_CH4_N2_6+,-4082.8993733150587,-4082.896549493414,-4082.895405457183
V30_CH4_N2_6-,-4082.8993826757483,-4082.8965415438743,-4082.895401780632
V30_CH4_N2_8+,-4082.899376875432,-4082.8965443318884,-4082.895402430457
V30_CH4_N2_8-,-4082.899376875432,-4082.8965443800157,-4082.8954024794198
V30_CH4_N2_9+,-4082.899376960704,-4082.896542749214,-4082.8954020927154
V30_CH4_N2_9-,-4082.899376726885,-4082.896545954768,-4082.895402807724
V30_CO2_Ar,-19487.123912457624,-19487.040049035222,-19487.02945628779
V30_CO2_Ar_1+,-19487.124077000986,-19487.040079094513,-19487.02943437931
V30_CO2_Ar_1-,-19487.123748144764,-19487.040018301093,-19487.029477375345
V30_CO2_Ar_2+,-19487.12386093585,-19487.04004830918,-19487.029430826708
V30_CO2_Ar_2-,-19487.123948984852,-19487.040033740774,-19487.029465649226
V30_CO2_Ar_3+,-19487.123905023967,-19487.04004105654,-19487.029448307345
V30_CO2_Ar_3-,-19487.123905023967,-19487.040041081724,-19487.029448255034
V30_CO2_Ar_4+,-19487.124096649914,-19487.04024067614,-19487.02963450988
V30_CO2_Ar_4-,-19487.123721436525,-19487.0398505286,-19487.02927118683
V30_CO2_Ar_5+,-19487.123902158426,-19487.040039230684,-19487.029446069966
V30_CO2_Ar_5-,-19487.123902158426,-19487.040038168972,-19487.02944579112
V30_CO2_CO2,-10265.522259992807,-10265.52524352024,-10265.521074642189
V30_CO2_CO2_1+,-10265.52225841739,-10265.525242143449,-10265.521073433863
V30_CO2_CO2_1-,-10265.52225841739,-10265.52524176722,-10265.521072713052
V30_CO2_CO2_10+,-10265.522267790408,-10265.525248577109,-10265.521087343754
V30_CO2_CO2_10-,-10265.522231560606,-10265.525217837023,-10265.521041365959
V30_CO2_CO2_11+,-10265.522249535054,-10265.525233089204,-10265.521064089471
V30_CO2_CO2_11-,-10265.522249535054,-10265.525233194163,-10265.52106451075
V30_CO2_CO2_2+,-10265.522211525915,-10265.52524166523,-10265.52109475037
V30_CO2_CO2_2-,-10265.522306623247,-10265.525244112134,-10265.521053328235
V30_CO2_CO2_3+,-10265.522226217447,-10265.525258436192,-10265.521072583524
V30_CO2_CO2_3-,-10265.522293215965,-10265.525228016319,-10265.521076146737
V30_CO2_CO2_4+,-10265.52225249041,-10265.525235812212,-10265.5210667445
V30_CO2_CO2_4-,-10265.52225249041,-10265.525235404031,-10265.521066663066
V30_CO2_CO2_5+,-10265.522252155015,-10265.525235525938,-10265.52106663382
V30_CO2_CO2_5-,-10265.522252155015,-10265.525235525132,-10265.521066631927
V30_CO2_CO2_6+,-10265.522223398704,-10265.52521277287,-10265.521058143553
V30_CO2_CO2_6-,-10265.522280940215,-10265.525258202833,-10265.521075109478
V30_CO2_CO2_7+,-10265.52225202701,-10265.525235650619,-10265.521066734747
V30_CO2_CO2_7-,-10265.52225202701,-10265.525235191124,-10265.521066344247
V30_CO2_CO2_8+,-10265.52198734488,-10265.524982634528,-10265.520806554438
V30_CO2_CO2_8-,-10265.522525682929,-10265.525497543771,-10265.52133588135
V30_CO2_N2,-8113.810868723437,-8113.847360279753,-8113.845731512262
V30_CO2_N2_2+,-8113.810792580424,-8113.847342281644,-8113.845698209292
V30_CO2_N2_2-,-8113.810943558694,-8113.847376399036,-8113.845763450044
V30_CO2_N2_3+,-8113.810861120471,-8113.847352517719,-8113.845723925725
V30_CO2_N2_3-,-8113.810861120471,-8113.847352807842,-8113.845724131096
V30_CO2_N2_4+,-8113.810822945282,-8113.847329244174,-8113.845711761029
V30_CO2_N2_4-,-8113.81089910497,-8113.847375196871,-8113.845735229753
V30_CO2_N2_5+,-8113.810860729908,-8113.84735202858,-8113.8457233736035
V30_CO2_N2_5-,-8113.810860729908,-8113.847352356948,-8113.845723570659
V30_CO2_N2_6+,-8113.810668524272,-8113.847173361004,-8113.845540191707
V30_CO2_N2_6-,-8113.811061939558,-8113.847540325534,-8113.84591596326
V30_CO2_N2_7+,-8113.810198593063,-8113.846702583592,-8113.8450712260055
V30_CO2_N2_7-,-8113.811517215983,-8113.847996898681,-8113.846370799625
V30_CO2_N2_8+,-8113.810858309424,-8113.847350340478,-8113.845721145377
V30_CO2_N2_8-,-8113.810858309424,-8113.847349447904,-8113.845721176397
V30_CO_Ar,-17438.458717494024,-17438.405911354832,-17438.412596365404
V30_CO_Ar_2+,-17438.45835756584,-17438.405543784513,-17438.412227565586
V30_CO_Ar_2-,-17438.459060224428,-17438.40626159062,-17438.412947674093
V30_CO_CO,-6168.225503836635,-6168.234194935273,-6168.249728568112
V30_CO_CO_3+,-6168.225486668618,-6168.234181816585,-6168.249680938211
V30_CO_CO_3-,-6168.225508248116,-6168.234195348439,-6168.2497638025025
V30_CO_CO_4+,-6168.225495107391,-6168.234185872855,-6168.249719703978
V30_CO_CO_4-,-6168.225495107391,-6168.234186529171,-6168.249719871808
V30_CO_CO_5+,-6168.2250123645,-6168.233685987951,-6168.249215917075
V30_CO_CO_5-,-6168.225977836,-6168.234686400721,-6168.250223649159
V30_H2O_Ar,-16434.102173848914,-16434.155288731945,-16434.167736558822
V30_H2O_Ar_1+,-16434.10220824483,-16434.155328589375,-16434.167744169405
V30_H2O_Ar_1-,-16434.10214600629,-16434.15525480764,-16434.167734740833
V30_H2O_Ar_2+,-16434.102182393948,-16434.15529848706,-16434.16774548359
V30_H2O_Ar_2-,-16434.102182393948,-16434.155294591732,-16434.16774316665
V30_H2O_Ar_3+,-16434.102230408695,-16434.15534619371,-16434.16779563193
V30_H2O_Ar_3-,-16434.102107634626,-16434.155221509267,-16434.167667857237
V30_H2O_Ar_4+,-16434.102422986994,-16434.155483636936,-16434.16793684957
V30_H2O_Ar_4-,-16434.101870271057,-16434.155039224028,-16434.167481806577
V30_H2O_Ar_5+,-16434.102120898064,-16434.155270583346,-16434.167707406796
V30_H2O_Ar_5-,-16434.102169673504,-16434.155249509542,-16434.167708563975
V30_H2O_CH4,-3181.7110991858103,-3181.7184225262076,-3181.7191456090472
V30_H2O_CH4_1+,-3181.711098653938,-3181.7184201000423,-3181.719139527741
V30_H2O_CH4_1-,-3181.7111053703475,-3181.718430373302,-3181.7191569718475
V30_H2O_CH4_10+,-3181.7110948676755,-3181.718418075486,-3181.7191411569033
V30_H2O_CH4_10-,-3181.7110948676755,-3181.7184180909535,-3181.7191411774593
V30_H2O_CH4_11+,-3181.7111419495086,-3181.718482178189,-3181.719203447689
V30_H2O_CH4_11-,-3181.7110467777643,-3181.7183531865526,-3181.719078078449
V30_H2O_CH4_12+,-3181.7111063579373,-3181.718430065615,-3181.71915447219
V30_H2O_CH4_12-,-3181.7110579531286,-3181.7183809631974,-3181.7191026425417
V30_H2O_CH4_13+,-3181.711087749761,-3181.718402408125,-3181.7191248234158
V30_H2O_CH4_13-,-3181.711074305752,-3181.718406223749,-3181.719129911587
V30_H2O_CH4_14+,-3181.7110809722485,-3181.718404223466,-3181.7191272951427
V30_H2O_CH4_14-,-3181.7110809722485,-3181.718404319355,-3181.7191273629737
V30_H2O_CH4_15+,-3181.711077898726,-3181.7183969494295,-3181.7191213946458
V30_H2O_CH4_15-,-3181.7110839278394,-3181.7184113804938,-3181.7191330160185
V30_H2O_CH4_16+,-3181.710867245716,-3181.7181627420146,-3181.718883747946
V30_H2O_CH4_16-,-3181.7112765640322,-3181.718627672421,-3181.719352747602
V30_H2O_CH4_17+,-3181.7110857662587,-3181.7183952656337,-3181.7191149531577
V30_H2O_CH4_17-,-3181.711055515054,-3181.7183924788314,-3181.7191188624583
V30_H2O_CH4_2+,-3181.7109672714887,-3181.7184231780084,-3181.719159988476
V30_H2O_CH4_2-,-3181.7112288959283,-3181.718418568783,-3181.7191280798565
V30_H2O_CH4_3+,-3181.711099462909,-3181.7184222080828,-3181.7191452173684
V30_H2O_CH4_3-,-3181.711099462909,-3181.7184221497037,-3181.719145149224
V30_H2O_CH4_5+,-3181.711099670022,-3181.718422882677,-3181.7191459294854
V30_H2O_CH4_5-,-3181.711099670022,-3181.718422506929,-3181.719145537612
V30_H2O_CH4_6+,-3181.7110959987194,-3181.7184192880095,-3181.7191423572626
V30_H2O_CH4_6-,-3181.7110959987194,-3181.7184192657933,-3181.7191423494755
V30_H2O_CH4_7+,-3181.711101288898,-3181.7184123324164,-3181.7191371667964
V30_H2O_CH4_7-,-3181.711090600451,-3181.7184261982666,-3181.719147528142
V30_H2O_CH4_8+,-3181.7111006429895,-3181.718434661792,-3181.7191515408376
V30_H2O_CH4_8-,-3181.7110912416356,-3181.7184038476,-3181.7191331407316
V30_H2O_CH4_9+,-3181.7111056861704,-3181.71842712511,-3181.719150599079
V30_H2O_CH4_9-,-3181.7110840291607,-3181.718409075405,-3181.7191317732954
V30_H2O_CO2,-7212.684557495006,-7212.728419714059,-7212.726530596524
V30_H2O_CO2_1+,-7212.684564537001,-7212.728424138308,-7212.726535853004
V30_H2O_CO2_1-,-7212.684564537001,-7212.72842304672,-7212.72653517209
V30_H2O_CO2_10+,-7212.684259747034,-7212.728173481826,-7212.726284498081
V30_H2O_CO2_10-,-7212.684799553818,-7212.728611188554,-7212.726721968324
V30_H2O_CO2_11+,-7212.684528413201,-7212.728391043836,-7212.726502011325
V30_H2O_CO2_11-,-7212.684528413201,-7212.7283909399175,-7212.726501738856
V30_H2O_CO2_2+,-7212.684580343659,-7212.72842006439,-7212.726535794498
V30_H2O_CO2_2-,-7212.684534087985,-7212.728418898485,-7212.726524912829
V30_H2O_CO2_3+,-7212.68455823659,-7212.728420229555,-7212.726531060012
V30_H2O_CO2_3-,-7212.68455823659,-7212.728420241524,-7212.726531076858
V30_H2O_CO2_4+,-7212.684557543012,-7212.728419517786,-7212.726530385343
V30_H2O_CO2_4-,-7212.684557543012,-7212.728419507872,-7212.726530477235
V30_H2O_CO2_5+,-7212.684445951841,-7212.728367113228,-7212.72651187694
V30_H2O_CO2_5-,-7212.684654087463,-7212.7284569074245,-7212.726533735038
V30_H2O_CO2_6+,-7212.684549567301,-7212.728411614559,-7212.726522316693
V30_H2O_CO2_6-,-7212.684549567301,-7212.7284116443525,-7212.726522615161
V30_H2O_CO2_7+,-7212.684726533387,-7212.728594003827,-7212.7267068507235
V30_H2O_CO2_7-,-7212.684381521444,-7212.728238579178,-7212.72634749327
V30_H2O_CO2_8+,-7212.684455032434,-7212.728338940901,-7212.726461210571
V30_H2O_CO2_8-,-7212.684649969791,-7212.728490896935,-7212.7265903672715
V30_H2O_CO2_9+,-7212.684547157051,-7212.728408707338,-7212.726519943618
V30_H2O_CO2_9-,-7212.684547157051,-7212.728410058219,-7212.726520584317
V30_H2O_H2O,-4159.944051626958,-4159.9473995647095,-4159.948795056163
V30_H2O_H2O_10+,-4159.944110938354,-4159.947457333262,-4159.948854768263
V30_H2O_H2O_10-,-4159.943935637626,-4159.947285074683,-4159.948678601
V30_H2O_H2O_11+,-4159.944023032344,-4159.947371058052,-4159.948766539563
V30_H2O_H2O_11-,-4159.944023032344,-4159.947370797757,-4159.948766267691
V30_H2O_H2O_2+,-4159.944041191741,-4159.947383480583,-4159.948780816757
V30_H2O_H2O_2-,-4159.944062191407,-4159.947415714527,-4159.948809381157
V30_H2O_H2O_3+,-4159.944023517599,-4159.947378576456,-4159.948775530433
V30_H2O_H2O_3-,-4159.9440789265545,-4159.9474197302725,-4159.948813775773
V30_H2O_H2O_4+,-4159.944087263959,-4159.947426315255,-4159.94881815831
V30_H2O_H2O_4-,-4159.944013306441,-4159.947370151644,-4159.948769349817
V30_H2O_H2O_5+,-4159.944046273809,-4159.947394540252,-4159.948789969548
