Molecule,charge,multiplicity,num_atoms,fd_step,field_au_x,field_au_y,field_au_z,field_VA_x,field_VA_y,field_VA_z,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
Pol130_CH2NH2-,0,1,5,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-2574.957701250286,-2575.0308385202857,-2575.0367208716375
Pol130_CH2PH,0,1,5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-10372.917468554093,-10372.907575386185,-10372.90406477946
Pol130_CH2PH0+,0,1,5,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-10372.846892453028,-10372.88937641331,-10372.868046532436
Pol130_CH2PH0-,0,1,5,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-10372.972649183814,-10373.061682756284,-10373.043524535575
Pol130_CH2PH1+,0,1,5,0.01,0.0,0.01,0.0,0.0,0.514220674763,0.0,-10372.917468554093,-10372.907575386185,-10372.90406477946
Pol130_CH2PH1-,0,1,5,0.01,0.0,-0.01,0.0,0.0,-0.514220674763,0.0,-10372.917468554093,-10372.907575386185,-10372.90406477946
Pol130_CH2PH2+,0,1,5,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-10372.922443977723,-10372.921880273308,-10372.913951217814
Pol130_CH2PH2-,0,1,5,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-10372.902020670055,-10372.981594162706,-10372.990539020248
Pol130_CH3,0,2,4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-1083.460332634611,-1083.484739561385,-1083.4937967621631
Pol130_CH30+,0,2,4,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-1083.4581160519074,-1083.5099160220777,-1083.5107676427763
Pol130_CH30-,0,2,4,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-1083.4581407909636,-1083.5123142897455,-1083.5081076564627
Pol130_CH32+,0,2,4,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-1083.460332634611,-1083.484739561385,-1083.4937967621631
Pol130_CH32-,0,2,4,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-1083.460332634611,-1083.484739561385,-1083.4937967621631
Pol130_CH3BH2,0,1,7,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-1793.44748638295,-1793.4396201836853,-1793.4588955146978
Pol130_CH3BH20+,0,1,7,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-1793.4414160501183,-1793.4487899579622,-1793.47313955762
Pol130_CH3BH20-,0,1,7,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-1793.4514506836038,-1793.470226804797,-1793.4853465793756
Pol130_CH3BH21+,0,1,7,0.01,0.0,0.01,0.0,0.0,0.514220674763,0.0,-1793.47881994136,-1793.572490697961,-1793.5766351888467
Pol130_CH3BH21-,0,1,7,0.01,0.0,-0.01,0.0,0.0,-0.514220674763,0.0,-1793.398066302919,-1793.4185053951553,-1793.440651702414
Pol130_CH3BH22+,0,1,7,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-1793.4429864847975,-1793.4838004104001,-1793.5009413439213
Pol130_CH3BH22-,0,1,7,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-1793.4429865001025,-1793.4839337731075,-1793.5009194538532
Pol130_CH3Cl,0,1,5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-13607.983824043038,-13607.983975025774,-13607.98320803864
Pol130_CH3Cl0+,0,1,5,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-13607.982699446908,-13608.0063922408,-13608.008777414156
Pol130_CH3Cl0-,0,1,5,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-13607.982691060983,-13608.005033516687,-13608.00669135628
Pol130_CH3Cl2+,0,1,5,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-13608.131964825072,-13608.237417933175,-13608.237644553621
Pol130_CH3Cl2-,0,1,5,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-13607.831055981038,-13607.834699883131,-13607.82331889136
Pol130_CH3F,0,1,5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-3802.723961677975,-3802.715740157063,-3802.722048214875
Pol130_CH3F0+,0,1,5,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-3802.7228315279094,-3802.736682455825,-3802.7449096072473
Pol130_CH3F0-,0,1,5,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-3802.7228315279094,-3802.736672637238,-3802.74491467407
Pol130_CH3F2+,0,1,5,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-3802.884007590486,-3802.93003124264,-3802.939400449771
Pol130_CH3F2-,0,1,5,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-3802.5614188855284,-3802.548115253669,-3802.5548946058593
Pol130_CH3NH2,0,1,7,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-2607.9052223869817,-2607.9053433917857,-2607.907921408417
Pol130_CH3NH20+,0,1,7,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-2607.9469774980107,-2607.974539897623,-2607.9831499644097
Pol130_CH3NH20-,0,1,7,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-2607.8587928853985,-2607.9085941523185,-2607.920321096479
Pol130_CH3NH21+,0,1,7,0.01,0.0,0.01,0.0,0.0,0.514220674763,0.0,-2607.793323050298,-2607.7805661160187,-2607.782373044215
Pol130_CH3NH21-,0,1,7,0.01,0.0,-0.01,0.0,0.0,-0.514220674763,0.0,-2608.015267387773,-2608.0797282017725,-2608.086650383311
Pol130_CH3NH22+,0,1,7,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-2607.9038975405497,-2607.940156954996,-2607.9490055259052
Pol130_CH3NH22-,0,1,7,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-2607.903897541088,-2607.9400368776855,-2607.9489235664723
Pol130_CH3O,0,2,5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-3130.5211687725073,-3130.537052558125,-3130.555186094087
Pol130_CH3O0+,0,2,5,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-3130.520069842375,-3130.5552574458306,-3130.5699223155866
Pol130_CH3O0-,0,2,5,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-3130.520069842375,-3130.554773489168,-3130.569711812931
Pol130_CH3O2+,0,2,5,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-3130.6816345617053,-3130.723378420388,-3130.7463474308597
Pol130_CH3O2-,0,2,5,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-3130.353894363319,-3130.3635516976624,-3130.3788179280245
Pol130_CH3OH,0,1,6,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-3148.8076198797494,-3148.80300712964,-3148.8047394053124
Pol130_CH3OH0+,0,1,6,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-3148.686848306956,-3148.6807447202214,-3148.681971156154
Pol130_CH3OH0-,0,1,6,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-3148.925974019569,-3148.9819538512406,-3148.9890997636526
Pol130_CH3OH1+,0,1,6,0.01,0.0,0.01,0.0,0.0,0.514220674763,0.0,-3148.703728367208,-3148.7231760512686,-3148.729440702121
Pol130_CH3OH1-,0,1,6,0.01,0.0,-0.01,0.0,0.0,-0.514220674763,0.0,-3148.908430841244,-3148.9425337469097,-3148.9498091598616
Pol130_CH3OH2+,0,1,6,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-3148.806699150072,-3148.8256786038246,-3148.8281975515315
Pol130_CH3OH2-,0,1,6,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-3148.806699150072,-3148.8256380891135,-3148.8281795104185
Pol130_CH3SH,0,1,6,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-11936.861145569424,-11936.855323068989,-11936.860138766393
Pol130_CH3SH0+,0,1,6,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-11936.962117920426,-11937.041133166469,-11937.04671527386
Pol130_CH3SH0-,0,1,6,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-11936.751901270925,-11936.782341739474,-11936.775447260514
Pol130_CH3SH1+,0,1,6,0.01,0.0,0.01,0.0,0.0,0.514220674763,0.0,-11936.78600633674,-11936.778567805728,-11936.777838922593
Pol130_CH3SH1-,0,1,6,0.01,0.0,-0.01,0.0,0.0,-0.514220674763,0.0,-11936.933168806036,-11937.001194068926,-11937.010215194658
Pol130_CH3SH2+,0,1,6,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-11936.845205834143,-11936.85511816422,-11936.859026376767
Pol130_CH3SH2-,0,1,6,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-11936.874181671474,-11936.90782893271,-11936.914765516467
Pol130_CH4,0,1,5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-1101.818793120731,-1101.8150801389886,-1101.8121607019048
Pol130_CH40+,0,1,5,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-1101.8179231145198,-1101.8317814503318,-1101.8345559628965
Pol130_CH40-,0,1,5,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-1101.8179231145198,-1101.8317198843235,-1101.83451542117
