,MACE-MP-0b3
V30_C2H4_Ar_9+,-31.264646427674602
V30_C2H4_Ar_9-,-31.264646427674602
V30_CH3OH_H2O,-44.427215400051324
V30_CH3OH_H2O_0+,-44.42698960756661
V30_CH3OH_H2O_0-,-44.42745015483794
V30_CH3OH_H2O_1+,-44.42724868153694
V30_CH3OH_H2O_1-,-44.42724868153694
V30_CH3OH_H2O_10+,-44.42730165050416
V30_CH3OH_H2O_10-,-44.42712229670991
V30_CH3OH_H2O_11+,-44.42728749330706
V30_CH3OH_H2O_11-,-44.42713720812472
V30_CH3OH_H2O_12+,-44.42721269150532
V30_CH3OH_H2O_12-,-44.42721269150532
V30_CH3OH_H2O_13+,-44.42730263573097
V30_CH3OH_H2O_13-,-44.42712194514388
V30_CH3OH_H2O_14+,-44.427082117970755
V30_CH3OH_H2O_14-,-44.42734036266329
V30_CH3OH_H2O_15+,-44.427633938206725
V30_CH3OH_H2O_15-,-44.42676306807624
V30_CH3OH_H2O_16+,-44.42719755778022
V30_CH3OH_H2O_16-,-44.42719755778022
V30_CH3OH_H2O_17+,-44.427025880523914
V30_CH3OH_H2O_17-,-44.42736790119406
V30_CH3OH_H2O_18+,-44.42589259483334
V30_CH3OH_H2O_18-,-44.42848337203388
V30_CH3OH_H2O_19+,-44.428054436595744
V30_CH3OH_H2O_19-,-44.42632105137902
V30_CH3OH_H2O_2+,-44.42723430558908
V30_CH3OH_H2O_2-,-44.427234305589096
V30_CH3OH_H2O_20+,-44.4271862005359
V30_CH3OH_H2O_20-,-44.4271862005359
V30_CH3OH_H2O_3+,-44.42736438570391
V30_CH3OH_H2O_3-,-44.42706639447971
V30_CH3OH_H2O_4+,-44.42721797784564
V30_CH3OH_H2O_4-,-44.42721797784564
V30_CH3OH_H2O_5+,-44.42724462854943
V30_CH3OH_H2O_5-,-44.42718970588693
V30_CH3OH_H2O_6+,-44.42721386768659
V30_CH3OH_H2O_6-,-44.4272138676866
V30_CH3OH_H2O_7+,-44.42726527829498
V30_CH3OH_H2O_7-,-44.42716152157169
V30_CH3OH_H2O_8+,-44.42724779751411
V30_CH3OH_H2O_8-,-44.42717997106956
V30_CH3OH_H2O_9+,-44.42721348416703
V30_CH3OH_H2O_9-,-44.42721348416703
V30_CH4_Ar,-23.682990818026404
V30_CH4_Ar_0+,-23.682969411340533
V30_CH4_Ar_0-,-23.68301201397943
V30_CH4_Ar_1+,-23.682999776089705
V30_CH4_Ar_1-,-23.6829997760897
V30_CH4_Ar_11+,-23.68298905308747
V30_CH4_Ar_11-,-23.68295568171844
V30_CH4_Ar_2+,-23.682999778932142
V30_CH4_Ar_2-,-23.68299977321858
V30_CH4_Ar_3+,-23.683007938148318
V30_CH4_Ar_3-,-23.682968585644094
V30_CH4_Ar_5+,-23.682988253255544
V30_CH4_Ar_5-,-23.682988253255544
V30_CH4_Ar_7+,-23.682987710531844
V30_CH4_Ar_7-,-23.682987709705973
V30_CH4_Ar_8+,-23.68338993571467
V30_CH4_Ar_8-,-23.682558473133966
V30_CH4_Ar_9+,-23.68297258382971
V30_CH4_Ar_9-,-23.68297258382971
V30_CH4_CH4,-47.47947750760363
V30_CH4_CH4_1+,-47.479486687452166
V30_CH4_CH4_1-,-47.479486760490786
V30_CH4_CH4_11+,-47.47943892321161
V30_CH4_CH4_11-,-47.479510779305784
V30_CH4_CH4_12+,-47.47947429468397
V30_CH4_CH4_12-,-47.47947430155261
V30_CH4_CH4_14+,-47.479474263817025
V30_CH4_CH4_14-,-47.479474263817025
V30_CH4_CH4_16+,-47.478802681166485
V30_CH4_CH4_16-,-47.480119023033666
V30_CH4_CH4_18+,-47.47945930002216
V30_CH4_CH4_18-,-47.479459300504026
V30_CH4_CH4_2+,-47.47948669407138
V30_CH4_CH4_2-,-47.479486760709584
V30_CH4_CH4_21+,-47.47943242848017
V30_CH4_CH4_21-,-47.47948541227555
V30_CH4_CH4_3+,-47.47921515546036
V30_CH4_CH4_3-,-47.47974065354309
V30_CH4_CH4_4+,-47.479487636376184
V30_CH4_CH4_4-,-47.47948763637618
V30_CH4_CH4_5+,-47.47948763641204
V30_CH4_CH4_5-,-47.479487636412046
V30_CH4_CH4_6+,-47.47947495632299
V30_CH4_CH4_6-,-47.47947495632298
V30_CH4_CH4_7+,-47.479474920126115
V30_CH4_CH4_7-,-47.47947492012612
V30_CH4_CH4_9+,-47.47947491188055
V30_CH4_CH4_9-,-47.47947495644784
V30_CH4_N2,-39.59962164708696
V30_CH4_N2_10+,-39.600504730724325
V30_CH4_N2_10-,-39.598714808386546
V30_CH4_N2_11+,-39.599159271992065
V30_CH4_N2_11-,-39.600050704069844
V30_CH4_N2_12+,-39.599611059606346
V30_CH4_N2_12-,-39.59959554574883
V30_CH4_N2_13+,-39.59960330650355
V30_CH4_N2_13-,-39.59960330650355
V30_CH4_N2_14+,-39.59949550139094
V30_CH4_N2_14-,-39.599711156115916
V30_CH4_N2_2+,-39.59943554420467
V30_CH4_N2_2-,-39.5998050357516
V30_CH4_N2_3+,-39.5997127638199
V30_CH4_N2_3-,-39.599548116715894
V30_CH4_N2_4+,-39.59963086365235
V30_CH4_N2_4-,-39.59963086365235
V30_CH4_N2_5+,-39.59957323134608
V30_CH4_N2_5-,-39.599664863019285
V30_CH4_N2_6+,-39.599639438841365
V30_CH4_N2_6-,-39.59959865325888
V30_CH4_N2_8+,-39.599618519752354
V30_CH4_N2_8-,-39.599618519752354
V30_CH4_N2_9+,-39.599616397519696
V30_CH4_N2_9-,-39.599620643828494
V30_CO2_Ar,-22.27404852664312
V30_CO2_Ar_1+,-22.27394207177643
V30_CO2_Ar_1-,-22.274155041045113
V30_CO2_Ar_2+,-22.27397751986548
V30_CO2_Ar_2-,-22.274109758599565
V30_CO2_Ar_3+,-22.2740436033905
V30_CO2_Ar_3-,-22.2740436033905
V30_CO2_Ar_4+,-22.273526457438305
V30_CO2_Ar_4-,-22.274564120751688
V30_CO2_Ar_5+,-22.27403821417438
V30_CO2_Ar_5-,-22.27403821417438
V30_CO2_CO2,-44.85169737727131
V30_CO2_CO2_1+,-44.85170105379347
V30_CO2_CO2_1-,-44.85170105379348
V30_CO2_CO2_10+,-44.85160397749407
V30_CO2_CO2_10-,-44.85176968671021
V30_CO2_CO2_11+,-44.85168683464156
V30_CO2_CO2_11-,-44.85168683464156
V30_CO2_CO2_2+,-44.851437110179454
V30_CO2_CO2_2-,-44.85195833214796
V30_CO2_CO2_3+,-44.85170066411041
V30_CO2_CO2_3-,-44.85169404216096
V30_CO2_CO2_4+,-44.85169237148247
V30_CO2_CO2_4-,-44.85169237148247
V30_CO2_CO2_5+,-44.85169249596676
V30_CO2_CO2_5-,-44.85169249596676
V30_CO2_CO2_6+,-44.85172839577986
V30_CO2_CO2_6-,-44.851656461761316
V30_CO2_CO2_7+,-44.851692372884344
V30_CO2_CO2_7-,-44.851692372884344
V30_CO2_CO2_8+,-44.852394255079304
V30_CO2_CO2_8-,-44.8509939584508
V30_CO2_N2,-38.20608723476937
V30_CO2_N2_2+,-38.20624749078773
V30_CO2_N2_2-,-38.20592624827411
V30_CO2_N2_3+,-38.20609480769182
V30_CO2_N2_3-,-38.20609480769183
V30_CO2_N2_4+,-38.2061027540156
V30_CO2_N2_4-,-38.206060853580155
V30_CO2_N2_5+,-38.20608178188469
V30_CO2_N2_5-,-38.20608178188469
V30_CO2_N2_6+,-38.206575496463415
V30_CO2_N2_6-,-38.20559247292485
V30_CO2_N2_7+,-38.206863603485814
V30_CO2_N2_7-,-38.205287572228116
V30_CO2_N2_8+,-38.206076783616595
V30_CO2_N2_8-,-38.206076783616595
V30_CO_Ar,-13.730115004069576
V30_CO_Ar_2+,-13.730604960913231
V30_CO_Ar_2-,-13.729608117482048
V30_CO_CO,-27.70601682468678
V30_CO_CO_3+,-27.706446972874815
V30_CO_CO_3-,-27.70560202730915
V30_CO_CO_4+,-27.70600827978935
V30_CO_CO_4-,-27.70600827978935
V30_CO_CO_5+,-27.706743358314235
V30_CO_CO_5-,-27.705273159593418
V30_H2O_Ar,-14.055780689879466
V30_H2O_Ar_1+,-14.05576394791959
V30_H2O_Ar_1-,-14.055834259281458
V30_H2O_Ar_2+,-14.055819965790953
V30_H2O_Ar_2-,-14.055819965790953
V30_H2O_Ar_3+,-14.055812497421574
V30_H2O_Ar_3-,-14.055740336328089
V30_H2O_Ar_4+,-14.056864479498735
V30_H2O_Ar_4-,-14.05464217010661
V30_H2O_Ar_5+,-14.055826863281453
V30_H2O_Ar_5-,-14.055675209939356
V30_H2O_CH4,-37.802748892299356
V30_H2O_CH4_1+,-37.8029615804835
V30_H2O_CH4_1-,-37.80257175872744
V30_H2O_CH4_10+,-37.80274568311502
V30_H2O_CH4_10-,-37.80274568311502
V30_H2O_CH4_11+,-37.802728476539855
V30_H2O_CH4_11-,-37.80276113587959
V30_H2O_CH4_12+,-37.80227521723395
V30_H2O_CH4_12-,-37.80318937250278
V30_H2O_CH4_13+,-37.80276250396532
V30_H2O_CH4_13-,-37.80269889103894
V30_H2O_CH4_14+,-37.80273068417293
V30_H2O_CH4_14-,-37.80273068417293
V30_H2O_CH4_15+,-37.802804740415546
V30_H2O_CH4_15-,-37.80265623686185
V30_H2O_CH4_16+,-37.801602125275835
V30_H2O_CH4_16-,-37.80384084141855
V30_H2O_CH4_17+,-37.80286283876827
V30_H2O_CH4_17-,-37.80257558854823
V30_H2O_CH4_2+,-37.803155552665345
V30_H2O_CH4_2-,-37.80235697822499
V30_H2O_CH4_3+,-37.80276440125851
V30_H2O_CH4_3-,-37.802764401258514
V30_H2O_CH4_5+,-37.80275195879641
V30_H2O_CH4_5-,-37.80275195879641
V30_H2O_CH4_6+,-37.8027463265085
V30_H2O_CH4_6-,-37.802746326508505
V30_H2O_CH4_7+,-37.80276113462017
V30_H2O_CH4_7-,-37.8027315325406
V30_H2O_CH4_8+,-37.80272521044222
V30_H2O_CH4_8-,-37.80276745830751
V30_H2O_CH4_9+,-37.8027544718496
V30_H2O_CH4_9-,-37.802736910352
V30_H2O_CO2,-36.570857716190886
V30_H2O_CO2_1+,-36.57088776105024
V30_H2O_CO2_1-,-36.57088776105024
V30_H2O_CO2_10+,-36.56988770545428
V30_H2O_CO2_10-,-36.571772235761294
V30_H2O_CO2_11+,-36.570828397029224
V30_H2O_CO2_11-,-36.570828397029224
V30_H2O_CO2_2+,-36.570978738826156
V30_H2O_CO2_2-,-36.57073580152028
V30_H2O_CO2_3+,-36.570860489897434
V30_H2O_CO2_3-,-36.570860489897434
V30_H2O_CO2_4+,-36.570859115999255
V30_H2O_CO2_4-,-36.570859115999255
V30_H2O_CO2_5+,-36.57090199741512
V30_H2O_CO2_5-,-36.57080331613042
V30_H2O_CO2_6+,-36.57085264080001
V30_H2O_CO2_6-,-36.57085264080001
V30_H2O_CO2_7+,-36.57033420784444
V30_H2O_CO2_7-,-36.571374509590875
V30_H2O_CO2_8+,-36.57083337963837
V30_H2O_CO2_8-,-36.57087344066128
V30_H2O_CO2_9+,-36.57084716623952
V30_H2O_CO2_9-,-36.57084716623952
V30_H2O_H2O,-28.34604135339015
V30_H2O_H2O_10+,-28.346502947980714
V30_H2O_H2O_10-,-28.34552223394909
V30_H2O_H2O_11+,-28.346012124386483
V30_H2O_H2O_11-,-28.346012124386476
V30_H2O_H2O_2+,-28.34611387637392
V30_H2O_H2O_2-,-28.345972636408682
V30_H2O_H2O_3+,-28.34622750294315
V30_H2O_H2O_3-,-28.345857149741942
V30_H2O_H2O_4+,-28.346163214585086
V30_H2O_H2O_4-,-28.345923646192777
V30_H2O_H2O_5+,-28.34603928617683
V30_H2O_H2O_5-,-28.34603928617683
V30_H2O_H2O_6+,-28.346105679575043
V30_H2O_H2O_6-,-28.34596873523987
V30_H2O_H2O_7+,-28.345975947308705
V30_H2O_H2O_7-,-28.346098283623473
V30_H2O_H2O_8+,-28.347309947537205
V30_H2O_H2O_8-,-28.344721567343843
V30_H2O_H2O_9+,-28.34515331090361
V30_H2O_H2O_9-,-28.346874467927584
V30_H2O_NH3,-33.76198762182183
V30_H2O_NH3_1+,-33.761948293446
V30_H2O_NH3_1-,-33.76202856007666
V30_H2O_NH3_10+,-33.761460798771694
V30_H2O_NH3_10-,-33.76247042910961
V30_H2O_NH3_11+,-33.76193537155194
V30_H2O_NH3_11-,-33.761992348026624
V30_H2O_NH3_12+,-33.761963813719035
V30_H2O_NH3_12-,-33.76196381371904
V30_H2O_NH3_13+,-33.76096631981449
V30_H2O_NH3_13-,-33.76296117994221
V30_H2O_NH3_14+,-33.76257226985621
V30_H2O_NH3_14-,-33.76134633292736
V30_H2O_NH3_2+,-33.76198849930047
V30_H2O_NH3_2-,-33.76198849930047
V30_H2O_NH3_3+,-33.762023622068426
V30_H2O_NH3_3-,-33.761950784144325
V30_H2O_NH3_4+,-33.76199343554236
V30_H2O_NH3_4-,-33.76198231466978
V30_H2O_NH3_5+,-33.76198467804021
V30_H2O_NH3_5-,-33.76198467804021
V30_H2O_NH3_6+,-33.76208565613827
V30_H2O_NH3_6-,-33.76188570742702
V30_H2O_NH3_7+,-33.76191924140036
V30_H2O_NH3_7-,-33.762046832776775
V30_H2O_NH3_8+,-33.761982817764796
V30_H2O_NH3_8-,-33.761982817764796
V30_H2O_NH3_9+,-33.761899051331895
V30_H2O_NH3_9-,-33.762067669073446
V30_HF_Ar,-7.032177864005775
V30_HF_Ar_0+,-7.0319663609286645
V30_HF_Ar_0-,-7.032390330710395
V30_HF_Ar_1+,-7.032185159213614
V30_HF_Ar_1-,-7.032185159213614
V30_HF_Ar_3+,-7.033621576412659
V30_HF_Ar_3-,-7.030672707073622
V30_HF_C2H2,-29.60788715649344
V30_HF_C2H2_0+,-29.607898472985614
V30_HF_C2H2_0-,-29.60789847298561
V30_HF_C2H2_1+,-29.608248674268776
V30_HF_C2H2_1-,-29.607525385922216
V30_HF_C2H2_10+,-29.608088878881496
V30_HF_C2H2_10-,-29.60764423466741
V30_HF_C2H2_11+,-29.606085815277634
V30_HF_C2H2_11-,-29.60962579321852
V30_HF_C2H2_2+,-29.607893208051465
V30_HF_C2H2_2-,-29.607893207751594
V30_HF_C2H2_3+,-29.607892345131475
V30_HF_C2H2_3-,-29.607892345131475
V30_HF_C2H2_4+,-29.60788311640126
V30_HF_C2H2_4-,-29.60788311640126
V30_HF_C2H2_5+,-29.607885258296058
V30_HF_C2H2_5-,-29.607885258296058
V30_HF_C2H2_6+,-29.607878077998556
V30_HF_C2H2_6-,-29.60787808866134
V30_HF_C2H2_7+,-29.607842273462552
V30_HF_C2H2_7-,-29.60791865632681
V30_HF_C2H2_8+,-29.607189507311773
V30_HF_C2H2_8-,-29.60856939530098
V30_HF_C2H2_9+,-29.607868307415302
V30_HF_C2H2_9-,-29.607868307415302
V30_HF_CH4,-31.04037567158712
V30_HF_CH4_0+,-31.040376509403828
V30_HF_CH4_0-,-31.040376326531746
V30_HF_CH4_10+,-31.039771314393082
V30_HF_CH4_10-,-31.040947451180593
V30_HF_CH4_11+,-31.040357857628837
V30_HF_CH4_11-,-31.040357857628837
V30_HF_CH4_13+,-31.04046026128045
V30_HF_CH4_13-,-31.040255290317184
V30_HF_CH4_14+,-31.037897999261002
V30_HF_CH4_14-,-31.04278752252125
V30_HF_CH4_2+,-31.03973614063993
V30_HF_CH4_2-,-31.041015859418007
V30_HF_CH4_3+,-31.04038691032643
V30_HF_CH4_3-,-31.04038691032643
V30_HF_CH4_5+,-31.04037319416233
V30_HF_CH4_5-,-31.04037319416233
V30_HF_CH4_7+,-31.040319577779524
V30_HF_CH4_7-,-31.040426490394587
V30_HF_CH4_8+,-31.04037241711724
V30_HF_CH4_8-,-31.04037244449652
V30_HF_CH4_9+,-31.04037243079613
V30_HF_CH4_9-,-31.04037243079613
V30_HF_CO,-21.096993147560863
V30_HF_CO_0+,-21.09700570549944
V30_HF_CO_0-,-21.09700570549944
V30_HF_CO_2+,-21.096762981596907
V30_HF_CO_2-,-21.09722365563915
V30_HF_CO_3+,-21.097001250979343
V30_HF_CO_3-,-21.097001250979343
V30_HF_CO_5+,-21.09757654993754
V30_HF_CO_5-,-21.096393504050482
V30_HF_CO_6+,-21.095462250673222
V30_HF_CO_6-,-21.098458621282305
V30_HF_H2O,-21.938492422622772
V30_HF_H2O_0+,-21.938156316656695
V30_HF_H2O_0-,-21.938828888127137
V30_HF_H2O_1+,-21.93849662055675
V30_HF_H2O_1-,-21.938496620556755
V30_HF_H2O_2+,-21.9388033771853
V30_HF_H2O_2-,-21.93818462438509
V30_HF_H2O_3+,-21.938366052846185
V30_HF_H2O_3-,-21.93862332793967
V30_HF_H2O_4+,-21.938490689142427
V30_HF_H2O_4-,-21.93849068914243
V30_HF_H2O_5+,-21.938647998159443
V30_HF_H2O_5-,-21.938328786908453
V30_HF_H2O_6+,-21.936588659550534
V30_HF_H2O_6-,-21.940345821996544
V30_HF_H2O_7+,-21.938980131648794
V30_HF_H2O_7-,-21.937950287866748
V30_HF_H2O_8+,-21.938463429380672
V30_HF_H2O_8-,-21.938463429380672
V30_HF_HCN,-26.569154293088676
V30_HF_HCN_0+,-26.569159438420535
V30_HF_HCN_0-,-26.569159438420535
V30_HF_HCN_2+,-26.56991568315835
V30_HF_HCN_2-,-26.568392139984663
V30_HF_HCN_3+,-26.569157281741965
V30_HF_HCN_3-,-26.569157281741965
V30_HF_HCN_5+,-26.569147691040843
V30_HF_HCN_5-,-26.569147691040843
V30_HF_HCN_7+,-26.569681612618922
V30_HF_HCN_7-,-26.5686115416737
V30_HF_HCN_8+,-26.56900676961758
V30_HF_HCN_8-,-26.569261506321443
V30_HF_HCN_9+,-26.56702179941657
V30_HF_HCN_9-,-26.57122529182514
V30_HF_HF,-14.820274120957821
V30_HF_HF_0+,-14.819859214068984
V30_HF_HF_0-,-14.82069117559709
V30_HF_HF_1+,-14.820022189342753
V30_HF_HF_1-,-14.820538190585772
V30_HF_HF_2+,-14.82028156505122
V30_HF_HF_2-,-14.82028156505122
V30_HF_HF_3+,-14.82038440602295
V30_HF_HF_3-,-14.820172850214751
V30_HF_HF_4+,-14.822516775564916
V30_HF_HF_4-,-14.817971432124745
V30_HF_HF_5+,-14.819220552515308
V30_HF_HF_5-,-14.82125863755343
V30_HF_N2,-23.28364868405544
V30_HF_N2_0+,-23.28366244138269
V30_HF_N2_0-,-23.28366244138269
V30_HF_N2_2+,-23.284021968584042
V30_HF_N2_2-,-23.283275141548163
V30_HF_N2_3+,-23.283651006105867
V30_HF_N2_3-,-23.283651006105867
V30_HF_N2_5+,-23.284562415221835
V30_HF_N2_5-,-23.282712425755133
V30_HF_N2_6+,-23.28191607912502
V30_HF_N2_6-,-23.28531391162852
V30_HF_NH3,-27.41829216325271
V30_HF_NH3_0+,-27.418293760154164
V30_HF_NH3_0-,-27.418293761079937
V30_HF_NH3_10+,-27.418268206881912
V30_HF_NH3_10-,-27.418268206881912
V30_HF_NH3_2+,-27.4183740181581
V30_HF_NH3_2-,-27.418208207826787
V30_HF_NH3_3+,-27.41829018249737
V30_HF_NH3_3-,-27.41829018458837
V30_HF_NH3_5+,-27.418264077118813
V30_HF_NH3_5-,-27.418316412969126
V30_HF_NH3_6+,-27.418287831172616
V30_HF_NH3_6-,-27.418287831157183
V30_HF_NH3_7+,-27.418287831877812
V30_HF_NH3_7-,-27.418287830451337
V30_HF_NH3_8+,-27.41653675346307
V30_HF_NH3_8-,-27.420007631800594
V30_HF_NH3_9+,-27.418247313169278
V30_HF_NH3_9-,-27.418292880861966
V30_N2_Ar,-15.836378409321407
V30_N2_Ar_2+,-15.83555793201953
V30_N2_Ar_2-,-15.83717516034835
V30_N2_N2,-31.767722821892697
V30_N2_N2_3+,-31.767735355112777
V30_N2_N2_3-,-31.767724917479605
V30_N2_N2_4+,-31.76882574043558
V30_N2_N2_4-,-31.766596323396094
V30_N2_N2_5+,-31.767711020304034
V30_N2_N2_5-,-31.767711020304034
V30_NH3_Ar,-19.432894078823452
V30_NH3_Ar_0+,-19.432989433826172
V30_NH3_Ar_0-,-19.432799071400307
V30_NH3_Ar_1+,-19.432911708531595
V30_NH3_Ar_1-,-19.4329117085316
V30_NH3_Ar_2+,-19.432818185744228
V30_NH3_Ar_2-,-19.433008782360726
V30_NH3_Ar_3+,-19.43288519064626
V30_NH3_Ar_3-,-19.432899448342276
V30_NH3_Ar_4+,-19.43290367832207
V30_NH3_Ar_4-,-19.432874236792316
V30_NH3_Ar_5+,-19.43288894802463
V30_NH3_Ar_5-,-19.43288894802463
V30_NH3_Ar_6+,-19.433426241736573
V30_NH3_Ar_6-,-19.432318321353453
V30_NH3_Ar_7+,-19.432795826622627
V30_NH3_Ar_7-,-19.43294475839333
V30_NH3_Ar_8+,-19.432870490941383
V30_NH3_Ar_8-,-19.432870490941383
V30_NH3_NH3,-39.06895740888321
V30_NH3_NH3_0+,-39.069900670178086
V30_NH3_NH3_0-,-39.06804901612206
V30_NH3_NH3_1+,-39.06897112041119
V30_NH3_NH3_1-,-39.06897112041119
V30_NH3_NH3_10+,-39.06894901951994
V30_NH3_NH3_10-,-39.0689560130386
V30_NH3_NH3_11+,-39.06895253120835
V30_NH3_NH3_11-,-39.06895253120835
V30_NH3_NH3_12+,-39.06822109013783
V30_NH3_NH3_12-,-39.06965104289222
V30_NH3_NH3_13+,-39.069491379698604
V30_NH3_NH3_13-,-39.06837949584134
V30_NH3_NH3_14+,-39.06880861214784
V30_NH3_NH3_14-,-39.069060020622246
V30_NH3_NH3_15+,-39.06888749056393
V30_NH3_NH3_15-,-39.06897983599119
V30_NH3_NH3_16+,-39.06893371681127
V30_NH3_NH3_16-,-39.06893371681127
V30_NH3_NH3_17+,-39.068933609891545
V30_NH3_NH3_17-,-39.068933609891545
V30_NH3_NH3_2+,-39.06895879077494
V30_NH3_NH3_2-,-39.06895879077494
V30_NH3_NH3_3+,-39.06909066445876
V30_NH3_NH3_3-,-39.068823913340054
V30_NH3_NH3_4+,-39.06895774375822
V30_NH3_NH3_4-,-39.068957743758226
V30_NH3_NH3_5+,-39.06903207535167
V30_NH3_NH3_5-,-39.06888196366639
V30_NH3_NH3_6+,-39.06903182021021
V30_NH3_NH3_6-,-39.068879396353914
V30_NH3_NH3_7+,-39.06891279627894
V30_NH3_NH3_7-,-39.068998313365505
V30_NH3_NH3_8+,-39.068962602897024
V30_NH3_NH3_8-,-39.06894253424403
V30_NH3_NH3_9+,-39.068952497437685
V30_NH3_NH3_9-,-39.068952497437685
