Reaction,Dataset,Reference,wB97M-V,revDSD-PBEP86-D4,MACE-MP-0b3
V30_67,V30,61.49690359806732,83.84308548385492,68.30104228644765,-156.11328363093278
V30_68,V30,69.95331188168124,43.182286495119,18.193040040720867,-425.44793856885013
V30_69,V30,80.0257791251948,116.43087915525392,74.61810648987228,-320.6561614393223
V30_70,V30,163.53051851848733,172.28115797742169,165.5146394162143,24.53256128419077
V30_71,V30,181.37532232288785,172.04240566263192,170.3277504237805,-394.6825705905774
V30_72,V30,233.66343461448312,261.2301391735649,238.88849807481404,-326.7853630296303
V30_73,V30,658.4770268180451,650.457678790139,656.3409151951447,304.30205857060855
V30_74,V30,1080.3281070481637,1080.5851334027586,1074.27697545339,1042.972552684875
V30_75,V30,1117.27575393508,1113.9660830619898,1119.3435605266295,907.9464169419731
V30_76,V30,1181.0523504195976,1176.322013490098,1184.2496910077075,1020.7742609323597
V30_77,V30,1436.4635995298015,1422.344106370302,1434.5666435587095,1365.107677166299
V30_78,V30,1482.8240482053548,1475.708312266044,1487.0421861351172,1287.7977792160384
V30_79,V30,1509.449940463873,1494.888741884285,1513.4889596692956,1213.7051089355793
V30_80,V30,1522.7425857849394,1508.19445341877,1525.614171465581,1300.4639154473386
V30_81,V30,1651.3490644369813,1638.0204474355512,1648.8782309884132,1504.1040043429107
V30_82,V30,3002.669145229543,2996.329105647841,3011.044884710738,3031.438172763537
V30_83,V30,3057.106167025521,3041.3080970372894,3064.780354327295,3115.086700881262
V30_84,V30,3119.2495316251398,3105.471902740438,3127.5697800469707,3172.771574067383
V30_85,V30,3769.7108560894326,3764.54485072772,3766.6543231732576,3861.464174239318
V30_86,V30,3826.560224389631,3839.668024009354,3832.197812614124,3878.289790955629
V30_87,V30,3932.2502053104577,3931.648007350052,3940.186174740998,3985.041916047191
V30_88,V30,61.16081863842,67.07443326972012,63.64113261618277,44.56904381041652
V30_89,V30,84.38081688776946,207.27355548034487,96.59300060557156,-202.94428533224757
V30_90,V30,667.4071074801614,697.0724103821854,670.6913061549773,572.8785724436232
V30_91,V30,670.8451245968457,699.4273665761588,674.0186306701421,574.0331502394625
V30_92,V30,1349.968101273202,1363.3745069707486,1348.923293925082,1329.5105231128057
V30_93,V30,2356.498438601334,2388.850215619062,2333.7215051825297,2516.8102633462427
V30_94,V30,2389.5857657603574,2363.939639964172,2400.1527854238866,2384.1148335452403
V30_95,V30,103.91645237997348,162.7091359039679,102.47799412529336,-212.3753007560044
V30_96,V30,113.00613918734678,111.42242818842968,114.2028477526964,-140.88120629943336
V30_97,V30,230.24663896548356,-71.39715166916281,173.1569155473431,-824.1051264418214
V30_98,V30,1349.249853725673,1337.622377710345,1354.4880898126064,1160.7676904424527
V30_99,V30,1352.6950579061445,1340.1094427206874,1357.16229404714,1197.681417566305
V30_100,V30,1577.9694355276406,1561.4680612548386,1581.5270194779612,1327.6080064957725
V30_101,V30,1577.9694355276406,1561.7049589308665,1581.6416435734734,1327.6102085046043
V30_102,V30,3021.9401726353803,3022.882714058185,3032.0178780062533,2976.388520808024
V30_103,V30,3141.151546840545,3127.434885530294,3149.2859049224494,3112.6141481416175
V30_104,V30,3157.867947134628,3145.130157613823,3166.679107991833,3119.754993573852
V30_105,V30,4096.306662611444,4098.166817086799,4096.825909858046,4230.713390814387
V30_106,V30,49.68950138104414,181.8692033304017,100.09997632583674,-261.3390144549351
V30_107,V30,105.153638716392,106.13154397448588,106.17799137908531,-101.67038171214251
V30_108,V30,306.8597952569722,192.34916592223027,265.0001286280075,-699.7742391614648
V30_109,V30,2150.5691267385328,2162.7100898544068,2143.2208390139417,2101.542826003401
V30_110,V30,4110.921612024065,4114.205264392761,4112.021275547856,4217.89586201369
V30_111,V30,2354.307199161796,2386.370648085924,2341.9777587914814,2540.0651336955116
V30_112,V30,86.965245598784,151.01557303836256,76.44666162423673,-404.23150573423777
V30_113,V30,114.59307278320264,112.52348604313896,118.92497298550006,164.172286587974
V30_114,V30,151.89472393891697,109.56217654124384,126.6522974293602,-409.4058772022357
V30_115,V30,174.24144391876536,186.268880591962,172.33594693422165,-290.8426612096599
V30_116,V30,660.5483387125007,686.6743873555135,663.4594452679971,552.9350275286148
V30_117,V30,674.0540170476388,701.7744868450817,677.2100918175655,553.8071573002991
V30_118,V30,1350.4202366980685,1363.103295590125,1349.5514646484826,1351.2986757937051
V30_119,V30,1646.6440658385716,1634.628770477431,1646.088955870461,1530.3266987407924
V30_120,V30,2390.2034620095897,2364.5657005798885,2399.474481305078,2395.357283838768
V30_121,V30,3831.092204622318,3845.9262280901057,3837.104992442015,3884.561484808011
V30_122,V30,3941.5352539259065,3941.6103569021257,3949.812214763869,3993.1980077116023
V30_123,V30,59.68432060007306,188.3451417914901,104.24723101791116,-139.42265750577047
V30_124,V30,73.61699615802586,73.44619127972254,74.91896584890931,131.7537115795762
V30_125,V30,101.15569240542531,205.9724103479456,134.35105016901898,-149.50864450660612
V30_126,V30,613.1385678845083,696.1281703879881,608.2859417519184,331.7001487961984
V30_127,V30,617.8286736300038,700.9538720729068,628.024648015191,306.53336245145505
V30_128,V30,623.2853186179606,703.4127446989785,643.3792579201792,421.9490765072338
V30_129,V30,629.374927196207,709.2329112324682,650.1801331653382,395.58486853146815
V30_130,V30,747.608814662628,773.6594501746401,761.9764442793493,703.4852768775273
V30_131,V30,754.8148387704955,781.9573160386876,769.6505590545761,668.0319554339586
V30_132,V30,765.6255718451561,790.9999782586877,780.9583207577878,789.0256796647374
V30_133,V30,772.7354087830737,800.300120983512,788.810533960218,781.8088916174797
V30_134,V30,1998.7369249379003,2016.825311738688,1999.8878485091516,2055.1315918233136
V30_135,V30,2002.862426737065,2021.5893611203344,2006.28246560518,2064.5926494912414
V30_136,V30,3390.522472157524,3380.9717163516275,3402.548238621121,3231.6066184242973
V30_137,V30,3403.994158051971,3397.346684085941,3417.312031661747,3189.896850824743
V30_138,V30,3488.65477489274,3482.84887159072,3497.8966998266583,3347.3839710382103
V30_139,V30,3496.409233917273,3491.8666913456664,3507.3125657073856,3336.001143254414
V30_140,V30,149.05760793680216,166.45591178189383,147.62114626847628,-339.11214395830865
V30_141,V30,185.170127575228,195.10778164932196,184.43920695606528,-242.47647715558688
V30_142,V30,352.2202993523281,350.0074004911623,346.6913553896396,-354.27616755830275
V30_143,V30,615.255611216243,602.6942027977933,609.8996880829899,353.4406231861087
V30_144,V30,1650.8740134033849,1636.890583643796,1648.5954336208297,1501.6157475777932
V30_145,V30,1670.8117249318834,1653.75570900334,1667.429247960798,1518.1743751173208
V30_146,V30,3750.770160287792,3752.0423686881495,3748.951774448732,3731.0467867437255
V30_147,V30,3826.3475050293086,3839.764313914198,3832.380283844894,3864.797697218263
V30_148,V30,3913.2169458405374,3915.3341771765295,3920.68092819707,3955.1032289970417
V30_149,V30,3932.2313874297697,3931.6479538583294,3940.557972910504,3987.05363158591
V30_150,V30,80.43100145276206,194.8147123106283,119.27853236621104,-204.31287160259174
V30_151,V30,2160.801759818743,2174.1418295341664,2153.3011058974107,2155.7505157096707
V30_152,V30,2161.560151242742,2175.162603148477,2152.964317231289,2158.3771620605066
V30_153,V30,2159.7775946243287,2173.290705712177,2151.528760531468,2145.632148981691
V30_154,V30,42.99906276373655,120.6138493627786,66.84905258680253,-96.5114537249112
V30_155,V30,611.7894378881275,698.5451214627994,608.6670231011915,333.33869035993627
V30_156,V30,612.0319634187432,696.3643839761601,604.0152004729506,332.5211819844499
V30_157,V30,747.4575837690671,778.0572906476742,759.6567887603616,711.5427187156641
V30_158,V30,748.5161075806922,775.1457952300323,760.5177331800189,709.6765682921963
V30_159,V30,2004.044328968106,2022.8701127981417,1999.6765685782389,2050.6165804999982
V30_160,V30,3408.469269411487,3401.917350213808,3451.0674557030075,3166.770341133894
V30_161,V30,3500.554832413281,3496.10229431663,3509.242317916876,3317.908815353721
V30_162,V30,45.21147646592017,123.13354736783378,73.06130682686063,-307.9263941649092
V30_163,V30,52.72031872504896,123.22365342503852,72.43524598010833,-273.0788082524275
V30_164,V30,102.45672917958971,150.63946599866892,112.92502782312674,-288.97536881632476
V30_165,V30,140.39589284145197,148.44019287973663,141.68999920815523,85.1500906634391
V30_166,V30,231.6957830093343,255.50205211821304,237.8571178302159,-142.25422946695497
V30_167,V30,389.4352457883188,405.6091106175999,394.7956532920613,153.39365338529888
V30_168,V30,1078.487464069883,1074.7484803915152,1082.0390858034084,989.5866597558321
V30_169,V30,1093.196904703859,1089.790296004319,1097.1798260577546,1004.1696220139168
V30_170,V30,1666.079524000609,1654.6504996602946,1667.584441987602,1622.4890731405417
V30_171,V30,1676.1730090873536,1664.459870011,1677.7703131940673,1634.3675741268514
V30_172,V30,1680.403485134582,1668.4561231278876,1681.8317902709496,1631.2296321836345
V30_173,V30,1696.253959901332,1682.5884135383476,1697.1850667250987,1628.7389980922794
V30_174,V30,3452.1191093649486,3458.5436395652555,3458.305077691985,3406.9548295954423
V30_175,V30,3472.5505805908365,3482.317657718054,3481.2433574131437,3456.7749239756927
V30_176,V30,3578.6776206570225,3570.3454206248634,3585.011577403339,3543.892426827972
V30_177,V30,3600.3641507787715,3594.10045946014,3609.156031426596,3593.6576130339045
V30_178,V30,3602.665293963962,3596.4673336069814,3611.963794912636,3589.6044340518865
V30_179,V30,3605.7140988199258,3599.5522205769207,3614.637304425824,3597.6950623098955
V30_180,V30,53.09388763000945,65.2854576238537,55.5359876734781,85.91171914753627
V30_181,V30,67.88472117157534,147.57083122660438,77.935408055626,-218.68453753993973
V30_182,V30,78.3668078557169,149.3898403596677,64.30049392412403,-223.88738611991542
V30_183,V30,1345.17437396595,1333.7444093448446,1350.373723695426,1189.114708274555
V30_184,V30,1345.738096122189,1334.5764074686747,1351.1954823638273,1189.3736793624291
V30_185,V30,1569.6002062691766,1553.629225960324,1551.0552512366116,1304.1641181275636
V30_186,V30,1570.2859942909763,1554.3435301346483,1574.767993767735,1303.9719105787747
V30_187,V30,2354.3590584849303,2386.37082434573,2331.505711074668,2541.60565214634
V30_188,V30,3031.3161621579006,3032.7804307298475,3041.4504071626325,3010.0261309218863
V30_189,V30,3152.4856235173315,3139.36072362136,3161.308335480582,3158.616782077163
V30_190,V30,3152.767279866273,3139.478559482119,3114.470571521778,3158.2873794288594
V30_191,V30,3154.210373908743,3140.8923789040778,3162.8715194531133,3156.371059922183
V30_192,V30,83.98231771201957,215.77431932275036,102.40278802889397,-167.28298407510886
V30_193,V30,187.06349486032803,189.9837351807248,186.12995322507945,151.83813539166957
V30_194,V30,629.5858670407694,566.9862662497392,608.7507499071061,-424.97324093204327
V30_195,V30,737.4925059230014,784.2146458624642,753.5317191903442,631.6305833456687
V30_196,V30,2152.4830713465994,2176.3528844770244,2138.943969241116,2048.5169375253545
V30_197,V30,3434.32500556644,3429.9699495039586,3443.081013782119,3310.8366706758084
V30_198,V30,3887.2819043170575,3883.358652649072,3880.075087706457,4089.307316339094
V30_199,V30,161.0677568645369,133.57166502282797,152.41916462302072,-254.74210122091796
V30_200,V30,218.3057624417345,71.39682437473657,179.9834349562758,-605.5954676033019
V30_201,V30,466.076423154736,381.4791362706794,436.6915809440351,-670.7021888852597
V30_202,V30,568.4771659332627,509.5540299889123,547.9248497084915,-521.8856485006072
V30_203,V30,4025.092808183033,4020.3286420338895,4020.9441998738735,4040.4480917870237
V30_204,V30,4104.238192793666,4111.4165914535215,4106.731803068756,4333.289687994627
V30_205,V30,45.8780893377054,41.25429554773167,48.717861185077794,29.20637306795226
V30_206,V30,67.69610180474399,141.60870219099422,100.42541818021706,-143.64866031484263
V30_207,V30,824.8330504541989,833.41452403056,828.5998352803925,606.8934833829472
V30_208,V30,951.3802762416894,999.4757715530942,959.8450679668464,1042.2768468066868
V30_209,V30,964.8442990534504,985.0583055621004,977.3115535804964,988.7468360412798
V30_210,V30,1048.181431160174,1064.0231700507084,1069.0294821361592,365.3680301424822
V30_211,V30,1246.8443227658702,1242.9985673780302,1248.783793617829,1149.493083648601
V30_212,V30,1367.5257868499914,1364.188742591575,1372.8267164909728,1247.347025457797
V30_213,V30,1476.8712218879652,1465.8974627381651,1480.324278603092,1237.5749565207004
V30_214,V30,1669.4581868997573,1669.121035597779,1671.8238316943414,1538.8463397207934
V30_215,V30,3139.7967211024584,3132.3994875604744,3156.691490034478,3114.44096721615
V30_216,V30,3154.398044933876,3146.541170278558,3165.503634945572,3134.4986302362936
V30_217,V30,3221.823448119957,3210.100154074629,3231.4026437863463,3189.807081485967
V30_218,V30,3246.9777483208554,3234.556345911441,3256.7239519639425,3226.953826486274
V30_219,V30,77.21741631070077,245.8460746721194,83.68450607968178,-273.53449715386546
V30_220,V30,118.24844947739004,120.97460563913867,118.7176895025755,88.28780599007591
V30_221,V30,384.4675338894929,297.4337613247511,353.7053425901019,-374.59298532944115
V30_222,V30,2364.92709729176,2397.50771765928,2342.048969421472,2475.0446853003596
V30_223,V30,4079.127729646064,4081.521570346203,4077.481207250671,4280.426661129402
V30_224,V30,62.16737215747629,57.51213941488758,62.65921998923813,-51.18994565223585
V30_225,V30,157.52710151808816,-177.22106704912076,52.245097514569615,-663.9611242779627
V30_226,V30,4124.085508561308,4128.568670641964,4125.981519123363,4087.6308712157243
V30_227,V30,47.12178809816257,43.52346660760186,49.675945775118414,23.938459225011094
V30_228,V30,60.805598607803205,143.52911149561868,70.01778192849402,-220.72530983040838
V30_229,V30,60.8059028406971,133.34666984165105,70.05213552078581,-220.72513317800434
V30_230,V30,1344.7067178117338,1332.6343231040346,1350.4014455691176,1179.0617679949876
V30_231,V30,1345.4356404290616,1333.744251660485,1350.6805014956635,1181.052918227717
V30_232,V30,1569.6261349767035,1552.6760834674792,1573.8467623690751,1300.1070510106092
V30_233,V30,3031.962975726262,3033.146346339069,3042.2895419303327,3005.9169259847863
V30_234,V30,3153.447845517956,3139.9498587032176,3162.11213855118,3149.1140483426943
V30_235,V30,3153.7763418901995,3140.303487614885,3162.465417329085,3167.7477747851403
V30_236,V30,74.35718963830935,74.79392825587429,58.4659329060767,-310.94104017648925
V30_237,V30,82.60241978012833,134.50698550697948,84.22524454172678,-200.24951967280208
V30_238,V30,89.94459722610988,140.1907752479789,86.25055715041412,-290.4266048300482
V30_239,V30,170.75535718115466,165.71330570567343,149.85419682517286,-430.4721829545909
V30_240,V30,1346.3373075512486,1334.2991849433547,1351.9399738838415,1181.2877447082858
V30_241,V30,1348.4132439351738,1336.51559112433,1353.7859349500484,1179.6586756574545
V30_242,V30,1350.181856888956,1338.1755455968205,1355.4247390333064,1179.475521780159
V30_243,V30,1571.6896295305537,1555.2953126993275,1575.4586305541657,1319.4756426580282
V30_244,V30,1574.3615489886934,1557.9098683796194,1578.2812519397276,1321.1204144966737
V30_245,V30,1651.8508567146616,1637.3426484107647,1649.768783210523,1490.730084969773
V30_246,V30,3026.430091666702,3027.4079272815134,3036.798714453232,3004.4536431891693
V30_247,V30,3144.424279576808,3130.627453546315,3152.9914053273005,3145.7099907972633
V30_248,V30,3148.1049752345334,3134.288919721079,3156.513266555549,3146.8620266713388
V30_249,V30,3155.4769367214985,3142.1878658267715,3164.343875692088,3163.7137355243312
V30_250,V30,3828.880031550776,3841.97987575824,3835.178002865252,3860.924313535946
V30_251,V30,3937.102213454544,3935.880372798559,3945.5235541789566,4017.603537028503
V30_252,V30,48.229201015997326,47.58470418824925,51.22468859779305,-30.743775212373762
V30_253,V30,58.84578243108119,96.71167684499773,62.98956052461551,-309.64753927270453
V30_254,V30,71.35870572854446,136.93318675399186,91.21727388249263,-324.8661473429289
V30_255,V30,1060.9100906049612,1057.396079223993,1064.864851559504,978.1796535132169
V30_256,V30,1672.8764711832057,1661.3448022768555,1674.5629573681792,1668.913199693497
V30_257,V30,1673.9753017322896,1662.2357607330348,1675.4950876922924,1670.4657087277863
V30_258,V30,3475.2664108612976,3485.2912375770275,3484.330455565429,3443.0728172160043
V30_259,V30,3606.319446786821,3600.168834034747,3615.461198503858,3596.7368045502317
V30_260,V30,3606.534885103827,3600.37445547796,3615.753896910281,3581.702793079451
V30_261,V30,55.14648863583864,198.96756545384704,72.39182671731261,-199.4502241796812
V30_262,V30,2354.4800591304383,2386.5259278583326,2331.726248779349,2532.220661370384
V30_263,V30,2354.729897930523,2386.6808450543085,2331.897613370915,2533.467330967431
V30_264,V30,94.77879290406426,182.64060965016407,119.28784163775568,-248.0852736637379
V30_265,V30,142.49659765208202,143.94095498373002,140.7087775286121,87.39645554871956
V30_266,V30,423.0740222746237,327.43337348309115,388.9355902019704,-604.7168049291727
V30_267,V30,488.9429674814664,440.3074445373654,465.54068393795103,-559.9516186709183
V30_268,V30,615.3892294004013,697.1903337050697,609.543031586658,494.10523364295483
V30_269,V30,648.8706765970929,717.874690897266,657.0439155066483,338.68386097502133
V30_270,V30,752.9859495617582,778.3742003799574,766.0855604742311,740.4626981889852
V30_271,V30,772.6433681781056,796.7994950782373,785.1236061793213,635.8999091905879
V30_272,V30,1999.793612281244,2017.9256659439525,1992.8362439618888,2047.0887197934305
V30_273,V30,3397.716922185707,3390.8061988196096,3409.5675881219067,3201.7699855947335
V30_274,V30,3490.213405334001,3485.822028464225,3498.69939476752,3347.1541948657004
V30_275,V30,3967.563263333008,3960.0587320381865,3960.372640576916,4129.3281455164
