,MACE-OMOL-0-100M,MACE-OMOL-0-4M
36_fch3clcomp2_BH76,-600.0224795565069,-600.0222798904305
37_Rxn9_TS_2cat_WCPT27,-629.5999528808372,-629.5979202691085
37_fch3clts_BH76,-599.9768849278975,-599.9675939801483
3react_CRBH20,-361.7888479834088,-361.78880787316365
3ts_CRBH20,-361.71176581898686,-361.710739439448
42_H2_BH76,-1.1608481997606732,-1.160869061930404
43_H2O_BH76,-76.4336215704773,-76.43354250933511
44_H2S_BH76,-399.3738324811362,-399.37374340729116
45_hclhts_BH76,-461.25904537635927,-461.2405449179436
46_hcl_lower_BH76,-460.79083362142393,-460.79077154127253
47_Rxn1_Product_WCPT27,-189.7901184451988,-189.79020028898069
48_Rxn2_Product_WCPT27,-169.9086328995026,-169.90853158215995
48_hcn_BH76,-93.43265777887687,-93.43257096372804
49_Rxn3_Product_WCPT27,-153.82752670642122,-153.82738564414836
49_hcnts_BH76,-93.35822698929199,-93.35474775718662
4react_CRBH20,-421.7406700741376,-421.74077290381365
4ts_CRBH20,-421.6623666830246,-421.6650441780379
50_Rxn4_Product_WCPT27,-150.0081020137386,-150.0080992888545
51_Rxn5_Product_WCPT27,-133.93805074996746,-133.93797926120973
52_Rxn6_Product_WCPT27,-117.87546121546923,-117.87551552099022
53_Rxn7_Product_WCPT27,-512.7137614324242,-512.7137534169108
54_Rxn8_Product_WCPT27,-492.840108275246,-492.8399197202268
55_Rxn9_Product_WCPT27,-476.76067440995735,-476.76060198764964
56_Water_WCPT27,-76.43367228116563,-76.43359375917152
57_h_lower_BH76,-0.4967256284992526,-0.48298095582871287
58_hn2_BH76,-110.04086348823898,-110.0384868289601
59_hn2ts_BH76,-110.02246007474393,-110.00463483738743
5react_CRBH20,-361.80031534486017,-361.8002176864809
5ts_CRBH20,-361.7260856421425,-361.72600438292653
60_hnc_BH76,-93.4128188523687,-93.41286390760268
63_hoch3fts_BH76,-215.55979896713487,-215.54981206317268
64_HS_BH76,-398.7285202843432,-398.73017545595036
65_H_upper_BH76,-0.4967256284992526,-0.48298095582871287
66_n2_BH76,-109.55241304883815,-109.55239724725718
67_n2o_BH76,-184.69673421320738,-184.69684979152706
68_n2ohts_BH76,-185.16445329154783,-185.14939220669507
6react_CRBH20,-397.74560501987975,-397.74486942269766
6ts_CRBH20,-397.676428450736,-397.6739059422877
72_O_BH76,-75.07239114071146,-75.07938864963366
73_oh-_BH76,-75.80657991422153,-75.80769620391702
74_oh_lower_BH76,-75.74239813646439,-75.74455163846132
75_OH_upper_BH76,-75.74239813646439,-75.74455163846132
7react_CRBH20,-377.86044515472946,-377.86008551706504
7ts_CRBH20,-377.8080911190725,-377.80696764689185
81_RKT04_BH76,-116.22419981170415,-116.22428943231728
89_RKT14_BH76,-76.22041996269118,-76.21350277367839
8react_CRBH20,-421.7758263695047,-421.77421512611824
8ts_CRBH20,-421.69816943530867,-421.69931381589305
90_RKT16_BH76,-399.85643461622163,-399.8529916332767
9react_CRBH20,-401.11369051900715,-401.1134632596039
9ts_CRBH20,-401.0425713472973,-401.0412159590524
BH28_BHDIV_1_min,-235.62427465738028,-235.61816545589394
BH28_BHDIV_1_ts,-235.53507303331168,-235.53212890697714
BH28_BHDIV_2_min,-231.97908727035406,-231.97893514824463
BH28_BHDIV_2_ts,-231.898374353604,-231.897487759795
BH28_BHDIV_3_min,-408.5481430757152,-408.5474550076692
BH28_BHDIV_3_ts,-408.4455182897304,-408.4439352035785
BH28_BHPERI_1_min,-155.9472723742047,-155.9475252854259
BH28_BHPERI_1_ts,-155.8886700706055,-155.88931427833887
BH28_BHPERI_2_min,-233.35747600796068,-233.35733750662177
BH28_BHPERI_2_ts,-233.3081404911696,-233.30589758444643
BH28_BHPERI_3_min,-195.2695752698156,-195.26965418746474
BH28_BHPERI_3_ts,-195.20853959704687,-195.2080094634332
BH28_BHPERI_4_min,-194.08065893339167,-194.0805658668335
BH28_BHPERI_4_ts,-194.03802812271078,-194.03728595272588
BH28_BHPERI_5_min,-234.56628252711675,-234.56625211085773
BH28_BHPERI_5_ts,-234.5043317527899,-234.50356099557885
BH28_BHPERI_6_min,-155.96283991472328,-155.96281236867262
BH28_BHPERI_6_ts,-234.49434579120222,-234.49340825276437
BH28_CADBH_1_min,-184.6967560287133,-184.69687294862192
BH28_CADBH_1_ts,-263.21877554542357,-263.2162508040085
BH28_CADBH_2_min,-164.8061007369969,-164.80632492680112
BH28_CADBH_2_ts,-243.33973043508902,-243.33706011021732
BH28_CADBH_3_min,-148.74601299792698,-148.7460116659339
BH28_CADBH_3_ts,-227.28819081408955,-227.28646491998867
BH28_CADBH_4_min,-168.59304514512175,-168.5935266097348
BH28_CADBH_4_ts,-247.1373693405702,-247.13674689181147
BH28_CADBH_5_min,-148.7043701366356,-148.70463232034223
BH28_CADBH_5_ts,-227.25934040697106,-227.25747188760278
BH28_CADBH_6_min,-132.66016362485752,-132.6599503615115
BH28_CADBH_6_ts,-211.21736507548516,-211.21578428426767
BH28_CADBH_7_min,-169.80670214786173,-169.806400765977
BH28_CADBH_7_ts,-248.35288952000195,-248.35230231656578
BH28_CADBH_8_min,-149.9208014486374,-149.9205194075888
BH28_CADBH_8_ts,-228.4781430834983,-228.4767992054983
BH28_CADBH_9_min,-133.86833201865417,-133.8681012911589
BH28_CADBH_9_ts,-212.43557959689343,-212.43476042072191
BH28_CADBH_c2h4,-78.56661453181684,-78.56660722625746
BH28_CRBH_1_min,-283.1678283960213,-283.16786855347533
BH28_CRBH_1_ts,-283.0946929466797,-283.0972362095355
BH28_CRBH_2_min,-322.4851291114753,-322.485062256611
BH28_CRBH_2_ts,-322.4051613055745,-322.4062925623035
BH28_CRBH_3_min,-396.57104234914095,-396.57087632311294
BH28_CRBH_3_ts,-396.50142205303706,-396.50178096870184
BH28_CRBH_4_min,-606.1180043872439,-606.1176544112734
BH28_CRBH_4_ts,-606.0412167894696,-606.0395173000979
BH28_CRBH_5_min,-645.4322353009449,-645.4319340927275
BH28_CRBH_5_ts,-645.3493358729941,-645.3463800172805
BH28_CRBH_6_min,-719.510402263201,-719.5096926413088
BH28_CRBH_6_ts,-719.4418123619439,-719.4391111679477
BH28_PXBH_1_min,-226.2277776379625,-226.22767725986867
BH28_PXBH_1_ts,-226.15303636968852,-226.15413324869698
BH28_PXBH_2_min,-305.7787892423515,-305.7790738238567
BH28_PXBH_2_ts,-305.74182892747376,-305.7428495944116
BH28_PXBH_3_min,-401.8946224206984,-401.89268534064786
BH28_PXBH_3_ts,-401.87983340260905,-401.86255822897533
BH28_PXBH_4_min,-502.37378189453284,-502.3683913862779
BH28_PXBH_4_ts,-502.3608730087759,-502.33761395012266
BH76_C2H5,-79.12890105867801,-79.12721504695293
BH76_C2H6,-79.79214394897402,-79.79222556920513
BH76_C5H8,-195.26958268040073,-195.2696618988396
BH76_CH3,-39.823792843732036,-39.82345246000417
BH76_CH4,-40.491098228725235,-40.49099384544261
BH76_Cl,-460.13312743685253,-460.1281456776466
BH76_F,-99.74369590549597,-99.76333335408765
BH76_H,-0.4967256284992526,-0.48298095582871287
BH76_H2,-1.160848199718875,-1.1608690618892061
BH76_H2O,-76.43362157179625,-76.43354251066094
BH76_HCl,-460.79083362191744,-460.7907715417479
BH76_HF,-100.4620273927137,-100.46205791487374
BH76_NH,-55.22638790472689,-55.20479298295797
BH76_NH2,-55.87504451056893,-55.87184825575974
BH76_NH3,-56.550347120177065,-56.55032454106381
BH76_O,-75.07239114071146,-75.07938864963366
BH76_OH,-75.74239813696423,-75.74455163896974
BH76_PH2,-342.487165999689,-342.4790996346692
BH76_PH3,-343.11532831878543,-343.1135521707709
BH76_RKT01,-461.276243021328,-461.2671372466128
BH76_RKT02,-76.89245481231933,-76.88344160707231
BH76_RKT03,-40.95630311871101,-40.95400202812579
BH76_RKT06,-1.639363549180252,-1.6432086709681712
BH76_RKT07,-132.28925919142733,-132.2870793431564
BH76_RKT08,-500.6070513961062,-500.59734592266983
BH76_RKT09,-155.5304674283609,-155.5300019652921
BH76_RKT10,-100.90342485195723,-100.91344833763785
BH76_RKT11,-115.5486433219044,-115.53945432203797
BH76_RKT12,-343.6018842238909,-343.59871588832425
BH76_RKT17,-535.8577958411446,-535.8742370010801
BH76_RKT18,-95.67729795659581,-95.66234578760059
BH76_RKT19,-134.98261950885663,-134.97089503737783
BH76_RKT20,-135.64876384080438,-135.64786532272808
BH76_RKT21,-96.34355376718446,-96.34280885433375
BH76_RKT22,-195.20868565166873,-195.20825317220255
BH76_c2h4,-78.56653306641991,-78.56652578559878
BH76_c3h7,-118.43015490358815,-118.43008551395228
BH76_c3h7ts,-118.37589674860207,-118.37531565294968
BH76_ch3cl,-500.08598697782264,-500.08585346477525
BH76_ch3f,-139.748065777443,-139.74797048536615
BH76_cl-,-460.26046909538786,-460.2601558399655
BH76_clch3clts,-960.3425087228221,-960.3232023700239
BH76_co,-113.33901545430318,-113.33898765249087
BH76_f-,-99.8682644688914,-99.85679570089528
BH76_f2,-199.55239733606086,-199.5521792300259
BH76_fch3clts,-599.976884928697,-599.9675939842855
BH76_fch3fcomp,-239.6398023339384,-239.63658729447275
BH76_fch3fts,-239.6224241399532,-239.60878804014303
BH76_hco,-113.86704968760327,-113.86846728728167
BH76_hcots,-113.82760709489283,-113.82812343584148
BH76_hf2ts,-200.03515702492874,-200.03882350924152
BH76_hfch3ts,-140.1927106109698,-140.19352802520893
BH76_hfhts,-100.88977681093859,-100.89326502143172
BH76_hoch3fcomp1,-215.6346883530629,-215.6341758726463
BH76_hoch3fcomp2,-215.57554311342278,-215.57373966473344
BH76_hoch3fts,-215.5597989670927,-215.54981206476717
BH9_01_10P,-364.57342573505684,-364.57507148461906
BH9_01_10R,-364.5364932902266,-364.53497425432494
BH9_01_10TS,-364.52231665815344,-364.5199879342936
BH9_01_11P,-273.2410883077314,-273.2432074466541
BH9_01_11R,-273.2426224960797,-273.24402799846723
BH9_01_11TS,-273.22596131839504,-273.2237596346931
BH9_01_12P,-423.51769331947463,-423.5199482846774
BH9_01_12R,-423.46468904305254,-423.47542555285423
BH9_01_12TS,-423.4596834285548,-423.46419119377293
BH9_01_13P,-290.487418606524,-290.4889203506172
BH9_01_13R,-290.4790954243258,-290.47827087832354
BH9_01_13TS,-290.45322410391714,-290.4496809116603
BH9_01_14P,-274.4568882603862,-274.4574883987866
BH9_01_14R,-274.4306298784494,-274.4303558559878
BH9_01_14TS,-274.4174401837482,-274.41560223216453
BH9_01_15P,-403.6280925008063,-403.6331594255126
BH9_01_15R,-403.6213643650933,-403.6229239568518
BH9_01_15TS,-403.60771827991283,-403.6063393616874
BH9_01_16P,-274.4285040436043,-274.4296908839871
BH9_01_16R,-274.42949084902847,-274.42973421188276
BH9_01_16TS,-274.40202508890445,-274.4021266759337
BH9_01_17P,-387.5618859143888,-387.5639859245701
BH9_01_17R,-387.58052869505303,-387.5843176541271
BH9_01_17TS,-387.55523588919766,-387.5570203437466
BH9_01_18P,-349.67871527421573,-349.67986354709876
BH9_01_18R,-349.65784557624386,-349.660416652406
BH9_01_18TS,-349.6459290916308,-349.64568979631235
BH9_01_19P,-387.5939291376623,-387.595817778137
BH9_01_19R,-387.54297212283166,-387.55339257281514
BH9_01_19TS,-387.5370687576405,-387.5406621334561
BH9_01_1P,-156.51088820220306,-156.51079855533266
BH9_01_1R,-156.51202835570288,-156.51225726940967
BH9_01_1TS,-156.49482401441503,-156.49319584869025
BH9_01_20P,-312.5725263534177,-312.5731069201499
BH9_01_20R,-312.53126638268134,-312.5316442410763
BH9_01_20TS,-312.5205373370769,-312.51803048554825
BH9_01_21P,-403.8756607008435,-403.87750601310927
BH9_01_21R,-403.8438126518002,-403.8437221759849
BH9_01_21TS,-403.8322906203781,-403.8328593554717
BH9_01_22P,-672.618011362353,-672.619792554815
BH9_01_22R,-672.6292169574725,-672.6309979423271
BH9_01_22TS,-672.602124816774,-672.6025271743775
BH9_01_23P,-312.54775781840834,-312.5498541028803
BH9_01_23R,-312.55129496289527,-312.55256322523803
BH9_01_23TS,-312.5307834035623,-312.5294827555063
BH9_01_24P,-313.76369391428767,-313.7645732922792
BH9_01_24R,-313.7329868240612,-313.73417520518217
BH9_01_24TS,-313.7214945352861,-313.7211880842574
BH9_01_25P,-313.76409027537244,-313.7654549718088
BH9_01_25R,-313.74069069279926,-313.7416931770681
BH9_01_25TS,-313.72922998683765,-313.727041936104
BH9_01_26P,-442.92017233440953,-442.91935033735456
BH9_01_26R,-442.94269127834684,-442.94665883175765
BH9_01_26TS,-442.91578014341684,-442.91447385369725
BH9_01_27P,-711.9490769948646,-711.9495042540392
BH9_01_27R,-711.9339661934083,-711.935905163751
BH9_01_27TS,-711.9169033814284,-711.9169425158345
BH9_01_28P,-426.86765287440227,-426.8701340637039
BH9_01_28R,-426.8855270421541,-426.8898441839748
BH9_01_28TS,-426.85122521548954,-426.85294702176355
BH9_01_29P,-502.368584556031,-502.3717329414154
BH9_01_29R,-502.3533420683282,-502.3565885821645
BH9_01_29TS,-502.33959676128785,-502.3391979393217
BH9_01_2P,-194.5851090323936,-194.5853795058979
BH9_01_2R,-194.63391203579835,-194.63519697443394
BH9_01_2TS,-194.57270907635268,-194.57173347603705
BH9_01_30P,-353.03846569948774,-353.0419637935165
BH9_01_30R,-353.0503405058393,-353.05302494789504
BH9_01_30TS,-353.027927852089,-353.02733551449086
BH9_01_31P,-482.22534235360905,-482.2239485285938
BH9_01_31R,-482.24642104702093,-482.2504976095887
BH9_01_31TS,-482.21144552025316,-482.21223759914176
BH9_01_32P,-679.7463966148752,-679.7540993846002
BH9_01_32R,-679.745891034849,-679.749387347742
BH9_01_32TS,-679.7277791829794,-679.73065928848
BH9_01_33P,-618.6101913800549,-618.6136931192035
BH9_01_33R,-618.6348341353921,-618.6421199094532
BH9_01_33TS,-618.6055506251553,-618.6074971446602
BH9_01_34P,-618.6280403183686,-618.6344058886818
BH9_01_34R,-618.6333905417332,-618.6396023043368
BH9_01_34TS,-618.6142478794588,-618.6214624302085
BH9_01_35P,-468.60960885180754,-468.6120396430807
BH9_01_35R,-468.5778846408093,-468.58015164656905
BH9_01_35TS,-468.5634316111631,-468.5643650944243
BH9_01_36P,-561.0918279971719,-561.0950841830442
BH9_01_36R,-561.0754790849951,-561.0785041418759
BH9_01_36TS,-561.0614812655946,-561.0614237283362
BH9_01_37P,-697.2677362014048,-697.2734128665645
BH9_01_37R,-697.2268816982846,-697.2309858224161
BH9_01_37TS,-697.2176825954317,-697.2225183972341
BH9_01_38P,-736.5771925500575,-736.5831707499916
BH9_01_38R,-736.5375638634711,-736.5423610908459
BH9_01_38TS,-736.5281338504268,-736.5324614008472
BH9_01_39P,-811.8005417517444,-811.8068387821568
BH9_01_39R,-811.7641970092461,-811.7709609121692
BH9_01_39TS,-811.7570037677847,-811.7629557510055
BH9_01_3P,-195.81584737779994,-195.81690524137787
BH9_01_3R,-195.81662577344727,-195.8168240703623
BH9_01_3TS,-195.78986309445835,-195.79046179563372
BH9_01_40P,-811.8187485071846,-811.8234087819015
BH9_01_40R,-811.7876966953482,-811.792480290684
BH9_01_40TS,-811.7793281023067,-811.7830812057796
BH9_01_41P,-828.8401350872562,-828.84610457839
BH9_01_41R,-828.8199265448869,-828.8252049551631
BH9_01_41TS,-828.8068490811777,-828.8130936164415
BH9_01_42P,-1134.73820078173,-1134.742603158722
BH9_01_42R,-1134.737554336503,-1134.7412922466976
BH9_01_42TS,-1134.7165393070184,-1134.7209534387648
BH9_01_43P,-775.8804515396363,-775.8863147767476
BH9_01_43R,-775.8480443837533,-775.8527400388165
BH9_01_43TS,-775.8397204448014,-775.8439000923761
BH9_01_44P,-1174.0660258031553,-1174.0710757659876
BH9_01_44R,-1174.0407354426166,-1174.0451932386177
BH9_01_44TS,-1174.0307810772247,-1174.0345448039382
BH9_01_45P,-1018.4425572984458,-1018.4481927210114
BH9_01_45R,-1018.4092594158699,-1018.4177833754158
BH9_01_45TS,-1018.392035442772,-1018.3997776749382
BH9_01_46P,-2232.314110991932,-2232.3191963719883
BH9_01_46R1,-1106.7886338834846,-1106.7879717865883
BH9_01_46R2,-1125.4885368958762,-1125.489899125863
BH9_01_46TS,-2232.282711698878,-2232.2814479037906
BH9_01_47P,-1003.7944851542977,-1003.8008818413597
BH9_01_47R,-1003.7731128298209,-1003.7783572134691
BH9_01_47TS,-1003.7612625840388,-1003.767621496701
BH9_01_48P,-1738.8436799954018,-1738.8486912825863
BH9_01_48R1,-613.3118530506432,-613.3197465869896
BH9_01_48R2,-1125.4885368950556,-1125.4898991245846
BH9_01_48TS,-1738.808224957917,-1738.814153551512
BH9_01_4P,-250.01950692862832,-250.0149034220654
BH9_01_4R,-249.9987800479082,-250.00007827077727
BH9_01_4TS,-249.98264167201847,-249.98327786802895
BH9_01_5P,-271.08042215098635,-271.0807343063649
BH9_01_5R,-271.0739817659127,-271.0746017668538
BH9_01_5TS,-271.06193808031435,-271.0625873448469
BH9_01_6P,-433.70542942913386,-433.7072421926811
BH9_01_6R,-433.67198252216485,-433.6766022333553
BH9_01_6TS,-433.66188196745384,-433.66210983290546
BH9_01_7P,-235.14923557620244,-235.14976460651246
BH9_01_7R,-235.1210124392065,-235.1208698358987
BH9_01_7TS,-235.1082224761985,-235.1077701346636
BH9_01_8P,-289.3046733376796,-289.30437194587256
BH9_01_8R,-289.2956112736896,-289.2913638535147
BH9_01_8TS,-289.27132783198454,-289.2661968627829
BH9_01_9P,-744.5619435020946,-744.5624385289007
BH9_01_9R1,-438.0337157711858,-438.03392082073907
BH9_01_9R2,-306.4979593592893,-306.4978121657998
BH9_01_9TS,-744.5346359662478,-744.5358071898594
BH9_02_100P,-637.6502319087659,-637.6508612490011
BH9_02_100R,-637.6790223540256,-637.6785760260456
BH9_02_100TS,-637.6188727167001,-637.6177118436856
BH9_02_101P,-637.6846182563587,-637.6850362369324
BH9_02_101R,-637.6790223517888,-637.6785760238791
BH9_02_101TS,-637.6081864811867,-637.6070970112374
BH9_02_102P,-637.6782976918043,-637.6778051573522
BH9_02_102R,-637.6798450954342,-637.6805728407214
BH9_02_102TS,-637.6161123688527,-637.6156640192555
BH9_02_103P,-637.678297689768,-637.6778051560133
BH9_02_103R,-637.6764924067375,-637.6771091400061
BH9_02_103TS,-637.6160283503594,-637.6158656213918
BH9_02_104P,-860.633981610779,-860.6340642701639
BH9_02_104R,-860.5876556223539,-860.5887659809378
BH9_02_104TS,-860.5679247642148,-860.567885592871
BH9_02_105P,-860.633981610779,-860.6340642701639
BH9_02_105R,-860.6439104567131,-860.6445944633032
BH9_02_105TS,-860.5633921738936,-860.5630884301077
BH9_02_106P,-804.9264483692797,-804.9269038166549
BH9_02_106R1,-494.10304276875,-494.10381685790423
BH9_02_106R2,-310.7906242012285,-310.79059655252263
BH9_02_106TS,-804.872051374204,-804.8690968519485
BH9_02_107P,-804.9357951312253,-804.9356266366085
BH9_02_107TS,-804.872051374204,-804.8690968519485
BH9_02_108P,-804.933104081057,-804.9324523343682
BH9_02_108TS,-804.872051374204,-804.8690968519485
BH9_02_109P,-747.1609794695137,-747.1604536820653
BH9_02_109R,-747.150673064855,-747.1495617945448
BH9_02_109TS,-747.074733606291,-747.0718102947313
BH9_02_10P,-777.9129592904334,-777.9134890486405
BH9_02_10R,-777.8577121745736,-777.8585019623748
BH9_02_10TS,-777.8269814688467,-777.823086801983
BH9_02_110P,-747.1701429574385,-747.1695057028704
BH9_02_110TS,-747.0747337379972,-747.0718101144605
BH9_02_111P,-350.0818728612828,-350.08202185979945
BH9_02_111R,-350.06151807287415,-350.0615086072936
BH9_02_111TS,-349.99150139119035,-349.98737167684425
BH9_02_112P,-940.5728126121707,-940.5728222919768
BH9_02_112R1,-629.7485615170694,-629.750445639822
BH9_02_112R2,-310.79062420008654,-310.7905965462148
BH9_02_112TS,-940.5176672621084,-940.5134233766555
BH9_02_113P,-940.5804465206087,-940.5802216926226
BH9_02_113TS,-940.5176672612151,-940.5134233738999
BH9_02_114P,-940.5826059086817,-940.5827339664781
BH9_02_114TS,-940.5176672612151,-940.5134233738999
BH9_02_115P,-940.5728126156824,-940.572822296238
BH9_02_115R1,-629.7485615266711,-629.7504456466838
BH9_02_115R2,-310.79062420008654,-310.7905965462148
BH9_02_115TS,-940.5163719969407,-940.5142138267933
BH9_02_116P,-940.5805821318465,-940.5804386943875
BH9_02_116TS,-940.5163719969407,-940.5142138267933
BH9_02_117P,-940.5877936084822,-940.5879310101991
BH9_02_117TS,-940.5163719969407,-940.5142138267933
BH9_02_118P,-1119.127911578386,-1119.128346687732
BH9_02_118R,-1119.0920248808598,-1119.0932800618257
BH9_02_118TS,-1119.0467296341262,-1119.0441045383668
BH9_02_119P,-1119.1347925479931,-1119.136198689934
BH9_02_119R,-1119.0866668685012,-1119.088163364216
BH9_02_119TS,-1119.0467296341262,-1119.0441045383668
BH9_02_11P,-777.8985719811603,-777.89921645962
BH9_02_11R,-777.8577121661697,-777.8585019591084
BH9_02_11TS,-777.8217138678181,-777.815774314554
BH9_02_120P,-1119.1284398804867,-1119.1298593467554
BH9_02_120R,-1119.083780636209,-1119.0853888904105
BH9_02_120TS,-1119.0468318436754,-1119.045456390786
BH9_02_121P,-1119.1465121744113,-1119.1475440258757
BH9_02_121TS,-1119.0468318436754,-1119.045456390786
BH9_02_122P,-1211.388604644902,-1211.388554974798
BH9_02_122R,-1211.3548776922505,-1211.3565100624241
BH9_02_122TS,-1211.3140425691274,-1211.312721789345
BH9_02_123P,-1211.3950593120062,-1211.3951448137389
BH9_02_123TS,-1211.3140425691274,-1211.312721789345
BH9_02_124P,-662.1302651133284,-662.1301838884493
BH9_02_124R,-662.0883833429647,-662.089074892097
BH9_02_124TS,-662.0474882712957,-662.0428854502594
BH9_02_125P,-662.1307208706919,-662.1304489328322
BH9_02_125TS,-662.0474882712957,-662.0428854502594
BH9_02_126P,-1119.1347925350306,-1119.136198728479
BH9_02_126R,-1119.1279116536894,-1119.1283467907015
BH9_02_126TS,-1119.0904451771348,-1119.0786772566694
BH9_02_127P,-1119.1465121738927,-1119.1475440254324
BH9_02_127R,-1119.1284399356487,-1119.129859405117
BH9_02_127TS,-1119.091061904842,-1119.0812586801621
BH9_02_128P,-573.8968256552018,-573.8966122070673
BH9_02_128R,-573.8792090995001,-573.8797802920656
BH9_02_128TS,-573.8278823223156,-573.8243413806396
BH9_02_129P,-613.2051644884413,-613.2049345127199
BH9_02_129R,-613.1934551208727,-613.1940097799803
BH9_02_129TS,-613.1397999763777,-613.1342788699777
BH9_02_12P,-777.8959946013324,-777.8971869704338
BH9_02_12R,-777.8591464013979,-777.8595562284509
BH9_02_12TS,-777.8200508810344,-777.8159194307055
BH9_02_130P,-841.1170286877832,-841.1168285301119
BH9_02_130R,-841.1014729206488,-841.1021485978226
BH9_02_130TS,-841.0454321422119,-841.0396030351174
BH9_02_131P,-650.0902395829575,-650.0898586084925
BH9_02_131R,-650.0682661733176,-650.0686100182199
BH9_02_131TS,-650.0170364697489,-650.0129393344289
BH9_02_132P,-689.3993531208587,-689.3991805104201
BH9_02_132R,-689.3825639288182,-689.3828801083441
BH9_02_132TS,-689.3296591000454,-689.3238499857056
BH9_02_133P,-917.3123179285642,-917.3121159827298
BH9_02_133R,-917.2909869806815,-917.2911695956119
BH9_02_133TS,-917.2358054434254,-917.2296743918257
BH9_02_134P,-270.51901522040555,-270.5188926881983
BH9_02_134R,-270.4910937715005,-270.4911013330574
BH9_02_134TS,-270.4383485451969,-270.43751280177395
BH9_02_135P,-647.7555383745445,-647.7560910161643
BH9_02_135R,-647.7296901529429,-647.7294978932911
BH9_02_135TS,-647.6840000131997,-647.6780948033714
BH9_02_136P,-386.03415574240876,-386.0337365972615
BH9_02_136R,-386.0087501774644,-386.00903834641036
BH9_02_136TS,-385.96009545347266,-385.95549416939576
BH9_02_137P,-838.5069652017197,-838.5079057345921
BH9_02_137R,-838.4826413299431,-838.483260649244
BH9_02_137TS,-838.4414563608601,-838.4367520084724
BH9_02_138P,-806.8937063624032,-806.894723716583
BH9_02_138R,-806.8996270533728,-806.8999776482883
BH9_02_138TS,-806.8470939555823,-806.8404363404336
