Reaction,Dataset,Reference,MACE-OMOL-0-100M,MACE-OMOL-0-4M,wB97M-V,revDSD-PBEP86-D4,wB97M-V_Error,wB97M-V_AbsError,revDSD-PBEP86-D4_Error,revDSD-PBEP86-D4_AbsError,MACE-OMOL-0-100M_Error,MACE-OMOL-0-100M_AbsError,MACE-OMOL-0-4M_Error,MACE-OMOL-0-4M_AbsError
BH28_CADBH_15,BH28,4.947418980516489,5.90679762631544,6.760350013986741,6.534567523606747,5.378836140259453,1.587148543090258,1.587148543090258,0.43141715974296346,0.43141715974296346,0.9593786457989504,0.9593786457989504,1.8129310334702522,1.8129310334702522
BH28_CADBH_16,BH28,13.264818605581645,12.818236225212187,12.993007648910103,13.051730632666064,11.418019220581105,-0.2130879729155808,0.2130879729155808,-1.8467993850005406,1.8467993850005406,-0.44658238036945797,0.44658238036945797,-0.2718109566715423,0.2718109566715423
BH28_CADBH_17,BH28,6.21414913795087,5.818830691831086,6.480559131022923,6.04798437820592,4.987112821460633,-0.16616475974494982,0.16616475974494982,-1.2270363164902376,1.2270363164902376,-0.3953184461197843,0.3953184461197843,0.2664099930720525,0.2664099930720525
BH28_CADBH_18,BH28,0.7170174254399184,-0.3972426275896015,-0.03256981597458414,0.1653372629932537,-0.4258490253490634,-0.5516801624466647,0.5516801624466647,-1.1428664507889819,1.1428664507889819,-1.11426005302952,1.11426005302952,-0.7495872414145026,0.7495872414145026
BH28_CRBH_19,BH28,46.15200781227431,45.89318735151099,44.32246499731958,46.343961140616535,46.80301832502158,0.19195332834222256,0.19195332834222256,0.6510105127472698,0.6510105127472698,-0.25882046076332443,0.25882046076332443,-1.8295428149547348,1.8295428149547348
BH28_CRBH_20,BH28,49.88049716954295,50.180555822556684,49.42872944675503,50.2376782605027,50.54144600600003,0.3571810909597488,0.3571810909597488,0.6609488364570808,0.6609488364570808,0.30005865301373547,0.30005865301373547,-0.45176772278792043,0.45176772278792043
BH28_CRBH_21,BH28,42.94933060615216,43.68739539205479,43.35798950650113,43.13554630161521,43.69765420880637,0.18621569546304784,0.18621569546304784,0.7483236026542102,0.7483236026542102,0.7380647859026297,0.7380647859026297,0.4086589003489678,0.4086589003489678
BH28_CRBH_22,BH28,44.88527702733047,48.184945093707874,49.031777538283905,47.43116447710047,47.77818370464063,2.5458874497699995,2.5458874497699995,2.8929066773101653,2.8929066773101653,3.299668066377407,3.299668066377407,4.146500510953437,4.146500510953437
BH28_CRBH_23,BH28,50.884320937649356,52.02017643327661,53.685992887449835,51.74303646565741,52.28158620955046,0.8587155280080552,0.8587155280080552,1.3972652719011052,1.3972652719011052,1.1358554956272542,1.1358554956272542,2.801671949800479,2.801671949800479
BH28_CRBH_24,BH28,42.710324797672186,43.040812863633555,44.29054322722291,42.60602061211368,44.039342699542175,-0.10430418555850451,0.10430418555850451,1.3290179018699888,1.3290179018699888,0.3304880659613687,0.3304880659613687,1.580218429550726,1.580218429550726
BH28_PXBH_25,BH28,48.44646294617259,46.90085394518386,46.1495637706107,48.229959062682624,47.04399600104476,-0.2165038834899633,0.2165038834899633,-1.402466945127827,1.402466945127827,-1.5456090009887262,1.5456090009887262,-2.29689917556189,2.29689917556189
BH28_PXBH_26,BH28,26.6730400687418,23.1929477500084,22.731047167330196,25.418868132905757,25.221898401586525,-1.254171935836041,1.254171935836041,-1.451141667155273,1.451141667155273,-3.480092318733398,3.480092318733398,-3.941992901411602,3.941992901411602
BH28_PXBH_27,BH28,14.459847020472036,9.280248963109033,18.905048000574595,12.289895037312052,13.19273053056958,-2.1699519831599847,2.1699519831599847,-1.267116489902456,1.267116489902456,-5.179598057363004,5.179598057363004,4.445200980102559,4.445200980102559
BH28_PXBH_28,BH28,14.388145277928045,8.100448112030898,19.313132774685688,11.915989940390316,12.84393846822186,-2.4721553375377283,2.4721553375377283,-1.5442068097061856,1.5442068097061856,-6.287697165897146,6.287697165897146,4.924987496757643,4.924987496757643
